series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage			-1.31					-1.31	2012	-1.31	World Bank	G
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage					-0.43			-0.43	2014	-0.43	World Bank	G
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage												
2018.Q2.G.01	SI_HEI_TOTL	Growth rates of household expenditure or income per capita (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage					0.01			0.01	2014	0.01	World Bank	G
