series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	19.34	22.18	21.01		2010	21.01	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	6.08	6.08	6.08	6.08	2015	6.08	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage	0	0	0	0	2015	0	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	3.22	3.22	3.22	3.22	2015	3.22	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	4.27	4.28	4.28	7.14	2015	7.14	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	11.15	13.64	15.24	17.17	2015	17.17	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	26.34	17.03	17.03	17.03	2015	17.03	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	15.89	17.21	17.35	18.96	2015	18.96	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRSTPRCT	Proportion of forest area within legally established protected areas (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage								
