series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	4	66.02688198	33.83160199	AFG	Afghanistan	1	HA_TH	Thousands of hectares	2000	1350	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	4	66.02688198	33.83160199	AFG	Afghanistan	1	HA_TH	Thousands of hectares	2005	1350	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	4	66.02688198	33.83160199	AFG	Afghanistan	1	HA_TH	Thousands of hectares	2010	1350	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	4	66.02688198	33.83160199	AFG	Afghanistan	1	HA_TH	Thousands of hectares	2015	1350	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	8	20.06660928	41.13897007	ALB	Albania	1	HA_TH	Thousands of hectares	2000	769.3	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	8	20.06660928	41.13897007	ALB	Albania	1	HA_TH	Thousands of hectares	2005	782.4	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	8	20.06660928	41.13897007	ALB	Albania	1	HA_TH	Thousands of hectares	2010	776.3	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	8	20.06660928	41.13897007	ALB	Albania	1	HA_TH	Thousands of hectares	2015	771.5	Float		FAO Estimate	E
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	10	21.47585697	-80.40897662	ATA	Antarctica	1	HA_TH	Thousands of hectares	2000					
2018.Q2.G.01	AG_LND_FRSTN	Forest area (thousands of hectares)	10	21.47585697	-80.40897662	ATA	Antarctica	1	HA_TH	Thousands of hectares	2005					
