"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes","ISO3CD","X","Y"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","40","Austria",2015.0,"","19502.400","Float","Environment Live","","AUT","14.14172472","47.58704857"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","233","Estonia",2013.0,"","12160.594","Float","Environment Live","","EST","25.84093481","58.68487172"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","242","Fiji",2016.0,"","320241.300","Float","Environment Live","","FJI","177.9660884","-17.83301566"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","392","Japan",2015.0,"","64605.000","Float","Environment Live","","JPN","139.2716103","36.6554539"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","428","Latvia",2016.0,"","950.000","Float","Environment Live","","LVA","26.42461876","56.64196636"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","458","Malaysia",2010.0,"","69651.000","Float","Environment Live","","MYS","116.8346314","5.452415309"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","584","Marshall Islands",2017.0,"","118861.930","Float","Environment Live","","MHL","171.0839119","7.110213497"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","642","Romania",2016.0,"","475.348","Float","Environment Live","","ROU","24.98481009","45.83893563"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","710","South Africa",2016.0,"","2095.977","Float","Environment Live","","ZAF","24.67184355","-29.99957544"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTOPW","Nationally derived quantity of open water bodies (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","729","Sudan",2018.0,"","952000000.000","Float","Environment Live","","","",""
