series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage																			0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage		0	0	0	0	0	0	0	0	0	3.22581	3.22581	5.71429	5.71429	5.71429	5.71429	5.71429	5.71429	4.87805	4.87805	4.87805	2.43902	9.7561	11.62791	11.62791	11.62791	11.62791	11.62791	11.62791	11.62791	2018	11.62791	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34783	4.34783	1.739132	2018	4.34783	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	36	134.3499412	-25.57717202	AUS	Australia	1	PERCENT	Percentage	0	0	10	7.14286	6.66667	6.25	6.25	6.25	11.76471	15.78947	15	15	15	5	4.34783	17.3913	17.3913	17.3913	4.03226	4.7619	4.7619	4.7619	4.7619	4.7619	4.7619	4.7619	4.7619	4.7619	4.7619	4.7619	2018	4.7619	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	40	14.14172472	47.58704857	AUT	Austria	1	PERCENT	Percentage	100	100	100	100	83.33333	84.61538	84.61538	84.61538	84.61538	84.61538	84.61538	93.33333	100	100	100	100	100	100	100	100	100	100	100	95.83333	95.83333	95.83333	96.15385	96.15385	96.15385	96.025642	2018	96.15385	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	44	-78.05111663	24.69546597	BHS	Bahamas	1	PERCENT	Percentage																			0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	48	50.5490754	26.04407747	BHR	Bahrain	1	PERCENT	Percentage																			0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	50	89.17660788	22.86961622	BGD	Bangladesh	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	51	44.93839317	40.29499741	ARM	Armenia	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	52	-59.5346489	13.13648273	BRB	Barbados	1	PERCENT	Percentage																			0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_NRK_LBRED	Proportion of local breeds classified as being at risk (%)	56	4.660976456	50.64104975	BEL	Belgium	1	PERCENT	Percentage	100	40	40	40	50	51.42857	51.42857	51.42857	51.42857	51.42857	52.63158	52.63158	52.63158	52.63158	52.63158	26.31579	26.31579	23.68421	14.89362	4.25532	4.25532	0	23.63636	62.16216	62.16216	62.16216	62.16216	62.16216	62.16216	62.16216	2018	62.16216	DAD-IS 2018 http://www.fao.org/dad-is/	C
