series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Bounds	Units description	Bounds description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	UB	Percentage	Upper bound	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	2018	12.28257	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PERCENT	MP	Percentage	P	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	2018	12.28257	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PERCENT	LB	Percentage	Lower bound	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	0.08478	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	12.28257	2018	12.28257	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	UB	Percentage	Upper bound	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	52.48504	52.48504	52.48504	52.48504	52.48504	62.25352	62.28228	62.28228	62.28228	62.28228	62.28228	62.28228	2018	62.28228	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	2	PERCENT	MP	Percentage	P	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	52.48504	52.48504	52.48504	52.48504	52.48504	62.25352	62.28228	62.28228	62.28228	62.28228	62.28228	62.28228	2018	62.28228	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	8	20.06660928	41.13897007	ALB	Albania	3	PERCENT	LB	Percentage	Lower bound	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	43.45183	52.48504	52.48504	52.48504	52.48504	52.48504	62.25352	62.28228	62.28228	62.28228	62.28228	62.28228	62.28228	2018	62.28228	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	UB	Percentage	Upper bound	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	2018	8.26642	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PERCENT	MP	Percentage	P	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	2018	8.26642	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	10	21.47585697	-80.40897662	ATA	Antarctica	3	PERCENT	LB	Percentage	Lower bound	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	8.26642	2018	8.26642	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
2018.Q2.G.01	ER_PTD_MOTN	Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	UB	Percentage	Upper bound	10.76967	11.8439	11.8439	12.35099	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	15.74719	2018	15.74719	BirdLife International, IUCN and UNEP-WCMC (2017). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)	C
