series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	308	-61.68248568	12.11238395	GRD	Grenada	1	PERCENT	Percentage	0.37334	0.36879	0.38681	0.39333	0.40206	0.40758	0.41784	0.4186	0.42418	0.40923	0.40655	0.39011	0.409734	2016	0.39011	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	PERCENT	Percentage	0.18509	0.1843	0.18429	0.18414	0.18124	0.18152	0.18325	0.18347	0.1818	0.17837	0.17352	0.16879	0.17719	2016	0.16879	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	316	144.7029305	13.35485404	GUM	Guam	1	PERCENT	Percentage	0.28986	0.29033	0.29044	0.28938	0.28771	0.28869	0.28505	0.28554	0.28757	0.28873	0.28114	0.28208	0.285012	2016	0.28208	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	320	-91.2312746	15.00273719	GTM	Guatemala	1	PERCENT	Percentage	1.08389	1.08267	1.08091	1.08117	1.08553	1.08183	1.08183	1.08017	1.08055	1.07401	1.07777	1.07649	1.077798	2016	1.07649	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	324	-11.28173419	11.00210343	GIN	Guinea	1	PERCENT	Percentage	0.05688	0.0599	0.05962	0.06283	0.06642	0.06693	0.06487	0.06522	0.06634	0.06776	0.06839	0.06878	0.067298	2016	0.06878	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	328	-58.97322037	4.788012784	GUY	Guyana	1	PERCENT	Percentage	0.70639	0.70584	0.7097	0.71232	0.71536	0.71846	0.718	0.71728	0.71869	0.72085	0.72182	0.72201	0.72013	2016	0.72201	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	332	-72.33640958	18.40426539	HTI	Haiti	1	PERCENT	Percentage	0.65955	0.66284	0.66554	0.68087	0.69662	0.71066	0.72619	0.7446	0.75076	0.75871	0.77129	0.76992	0.759056	2016	0.76992	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	PERCENT	Percentage																	
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	336	12.45315803	41.90343751	VAT	Holy See	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	2016	0	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	340	-86.59974381	14.82243161	HND	Honduras	1	PERCENT	Percentage	0.74695	0.74876	0.75305	0.75394	0.75807	0.75889	0.75529	0.75078	0.74893	0.74289	0.74414	0.74742	0.746832	2016	0.74742	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	PERCENT	Percentage	11.29566	11.232	11.19584	11.18138	11.15324	11.1543	11.18851	11.20636	11.21047	11.21454	11.18309	11.06827	11.176546	2016	11.06827	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	348	19.41221519	47.1651448	HUN	Hungary	1	PERCENT	Percentage	1.24015	1.24243	1.24704	1.25119	1.25941	1.26031	1.2656	1.26473	1.26438	1.25693	1.26327	1.26467	1.262796	2016	1.26467	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	352	-19.02116966	64.79134763	ISL	Iceland	1	PERCENT	Percentage	2.67074	2.66631	2.66578	2.66233	2.66354	2.66646	2.66952	2.67104	2.67401	2.67558	2.67308	2.67123	2.672988	2016	2.67123	Global Surface Water Explorer extraction for UN Environment	C
2018.Q2.G.01	EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	356	79.3608464	22.34642074	IND	India	1	PERCENT	Percentage	0.4923	0.49768	0.50724	0.52287	0.53676	0.54453	0.54562	0.54736	0.54449	0.5447	0.55544	0.56122	0.550642	2016	0.56122	Global Surface Water Explorer extraction for UN Environment	C
