series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number	983								2010	983	National Statistical Office	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number	127	142	157	124	117	66	79	108.6	2016	79	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number	254	280	523	480	577	542		530.5	2015	542	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number	5	5	2	3	3	4	3	3	2016	3	National Statistical Office	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number		1							2011	1	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number	6		10					10	2012	10	Organzation of American States	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number	206		202	221	236		208	216.75	2016	208	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	Number	231	248	243	245	243	236	227	238.8	2016	227	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	Number	58	75	79	62	45	46	57	57.8	2016	57	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	Number	94	127	111	119	122			117.333333333333	2014	122	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	Number	11	7	4	5	7			5.33333333333333	2014	7	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	Number	56	71	65	63	72	75	87	72.4	2016	87	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	Number	31	27	22	24	25	31		25.5	2015	31	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	Number	189	214	205	205	208	220		209.5	2015	220	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	Number	7	8	6	5	4	4	7	5.2	2016	7	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	Number	16	32	33	24	21	12	9	19.8	2016	9	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	Number	56	51	63	46	50	57	45	52.2	2016	45	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	Number	303								2010	303	Global Status Report on Violence Prevention	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	NUMBER	Number	129	124	145	99	123	119	138	124.8	2016	138	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	NUMBER	Number												
2018.Q2.G.01	VC_IHR_PSRCN	Number of victims of intentional homicide (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	NUMBER	Number												
