series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number							249	249	242	242	249	249	249	249	249	249	249	249	249	249	2018	249	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number	155	155	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	2018	140	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number	380	380	380	389	389	389	389	389	389	389	389	389	389	462	462	462	462	462	462	462	2018	462	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	2018	28	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	2018	220	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	18	18	18	18	18.2	2018	18	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number	125	125	124	124	124	124	125	124	123	123	123	125	125	125	122	122	124	125	125	123.6	2018	125	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number	257	257	257	257	257	255	257	257	255	255	257	257	257	257	257	257	257	257	257	257	2018	257	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	Number	147	148	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	2018	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	Number	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	183	2018	183	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	Number	40	40	40	40	40	40	40	40	41	41	41	41	41	38	38	38	38	38	39	38.2	2018	39	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	Number				40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	2018	40	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	Number	330	330	330	300	300	300	345			300	345	345	350	350	297	350	350	350	350	339.4	2018	350	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	Number	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	131	105	125.8	2018	105	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
