series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	Number	28	28	28	28	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2018	30	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	Number	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	2018	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	Number	150	150	150	150	150	150	150	150	150	47	47	47	47	47	47	47	47	47	47	47	2018	47	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	Number	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	130	2018	130	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	Number	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	2018	42	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	Number	47	47	47	47	47	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	2018	63	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	NUMBER	Number	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	513	2018	513	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	NUMBER	Number	29	29	29	29	30	30	30	30	30	32	32	32	32	32	32	32	32	32	32	32	2018	32	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	NUMBER	Number	49	49	49	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	2018	50	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	NUMBER	Number																		33	33	33	2018	33	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	100	25.23763153	42.75731323	BGR	Bulgaria	1	NUMBER	Number	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	2018	240	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	104	96.51752295	21.19332882	MMR	Myanmar	1	NUMBER	Number												326	395	431	429	420	433	433	433	429.6	2018	433	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	108	29.89080992	-3.366387428	BDI	Burundi	1	NUMBER	Number	117	118	169	179	179	179	118	118	118	118	118	106	105	105	105	105	121	121	121	114.6	2018	121	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	112	28.04940161	53.54193075	BLR	Belarus	1	NUMBER	Number	110	110	97	97	97	109	110	110	110	110	110	110	110	109	109	110	110	110	110	109.8	2018	110	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	116	104.922836	12.71163737	KHM	Cambodia	1	NUMBER	Number	122	122	122	122	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	123	2018	123	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	120	12.7419827	5.692387031	CMR	Cameroon	1	NUMBER	Number	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	2018	180	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	124	-101.6575058	57.72360191	CAN	Canada	1	NUMBER	Number	301	301	301	301	301	308	308	308	305	308	308	308	307	308	307	306	338	335	337	324.6	2018	337	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	NUMBER	Number	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	2018	72	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	140	20.93559492	7.003720791	CAF	Central African Republic	1	NUMBER	Number	109	109	109	109			105	105	105	105	104		104	104				140	140	140	2018	140	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	NUMBER	Number	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	225	2018	225	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	148	18.66618401	15.36279341	TCD	Chad	1	NUMBER	Number	125	125	125	155	155	155	155	155	155	155	155	155	188	188	188	188	188	188	188	188	2018	188	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	152	-71.23029019	-35.2652885	CHL	Chile	1	NUMBER	Number	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120		120	2017	120	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	156	104.1403375	32.30955217	CHN	China	1	NUMBER	Number	2979	2984	2984	2984	2985	2985	2980	2980	2963	2987	2987	2987	2978	2978	2987	2959	2959	2949	2924	2955.6	2018	2924	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	170	-73.07446751	3.888209046	COL	Colombia	1	NUMBER	Number	161	161	161	166	166	166	165	166	166	166	166	166	165	165	165	166	166	166	166	165.8	2018	166	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	174	43.34234565	-11.66121732	COM	Comoros	1	NUMBER	Number						33	33	33	33	33	33	33	33	33	33		33	33	33	33	2018	33	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	175	45.14015057	-12.82217691	MYT	Mayotte	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	178	15.22052612	-0.840544119	COG	Congo	1	NUMBER	Number	75	75	75	129	129	129	129	129	137	137	137	137	137	136	136	136	136	136	151	139	2018	151	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	NUMBER	Number					500	500	500	500	500	500	500	500	492	492	498	492	492	492	492	493.2	2018	492	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	NUMBER	Number	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	2018	57	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	191	17.95874553	45.45172212	HRV	Croatia	1	NUMBER	Number	127	151	151	151	152	152	152	152	153	153	153	153	151	151	151	151	151	151	151	151	2018	151	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	192	-79.54460144	22.10030366	CUB	Cuba	1	NUMBER	Number	601	601	601	609	609	609	609	609	614	614	614	614	586	586	612	612	612	612	612	612	2018	612	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	196	33.22285964	35.05659437	CYP	Cyprus	1	NUMBER	Number	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	2018	56	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	203	15.33151382	49.73913871	CZE	Czechia	1	NUMBER	Number	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	2018	200	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	204	2.339933594	9.65401646	BEN	Benin	1	NUMBER	Number	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	83	2018	83	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	208	9.326571283	56.03829721	DNK	Denmark	1	NUMBER	Number	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	179	2018	179	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	212	-61.3493756	15.43391378	DMA	Dominica	1	NUMBER	Number	32	32	32	32	32	31	31	31	31	32	28	32	32	32	31	32	32	32	32	31.8	2018	32	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	NUMBER	Number	149	149	149	150	150	150	150	178	178	178	178	183	183	183	183	183	183	190	190	185.8	2018	190	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	NUMBER	Number	121	123	123	100	100	100	100	100	100	76	124	124	124	124	137	137	137	137	137	137	2018	137	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	222	-88.86862995	13.73603564	SLV	El Salvador	1	NUMBER	Number	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	2018	84	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	NUMBER	Number	80	80	80	80	80	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2018	100	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	231	39.63505296	8.631223181	ETH	Ethiopia	1	NUMBER	Number	543	546	547	547	547	547	546	529	529	529	529	547	547	547	547	547	547	547	547	547	2018	547	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	232	38.11074289	16.12894644	ERI	Eritrea	1	NUMBER	Number	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	150	2018	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	233	25.84093481	58.68487172	EST	Estonia	1	NUMBER	Number	101	101	101	101	101	101	101	101	101	101	101	101	101	101	100	101	101	101	101	100.8	2018	101	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	242	177.9660884	-17.83301566	FJI	Fiji	1	NUMBER	Number	71		70	70	70	71	71									50	50	50	50	50	2018	50	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	246	23.308447	61.91586738	FIN	Finland	1	NUMBER	Number	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	2018	200	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	248	19.80945969	60.1544901	ALA	Åland Islands	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	250	2.457288129	46.62660861	FRA	France	1	NUMBER	Number	577	577	577	574	574	574	574	574	577	577	577	577	577	577	577	577	577	577	577	577	2018	577	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	254	-53.23619089	3.922673437	GUF	French Guiana	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	262	42.18274707	11.56004161	DJI	Djibouti	1	NUMBER	Number	65	65	65	65	65	65	65	65	65	65	65	65	65	65	55	55	55	65	65	59	2018	65	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	266	11.78727747	-0.60687619	GAB	Gabon	1	NUMBER	Number	120	120	120	119	119	119	119	120	120	120	116	116	114	114	120	120	120	117	117	118.8	2018	117	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	268	43.3713615	42.04813028	GEO	Georgia	1	NUMBER	Number	235	235	235	235	235	235	235	235	235	150	137	138	137	150	150	150	150	150	150	150	2018	150	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	270	-15.39944785	13.45295927	GMB	Gambia	1	NUMBER	Number	49	49	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	53	58	54	2018	58	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	275	35.25694122	31.94347933	PSE	State of Palestine	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	276	10.3806066	51.08862743	DEU	Germany	1	NUMBER	Number	669	669	666	603	603	601	614	614	613	612	622	622	620	620	631	631	631	630	709	646.4	2018	709	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	288	-1.205623522	7.964825185	GHA	Ghana	1	NUMBER	Number	200	200	200	200	200	230	230	230	230	228	230	230	230	273	275	275	275	275	275	275	2018	275	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	296	-157.5643005	1.768837732	KIR	Kiribati	1	NUMBER	Number	41	41	42	42	42	42	42	42	46	46	46	46	46	46	46	46	46	46	46	46	2018	46	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	300	22.58307827	39.47301873	GRC	Greece	1	NUMBER	Number	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	2018	300	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	304	-41.39371316	74.75625681	GRL	Greenland	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	308	-61.68248568	12.11238395	GRD	Grenada	1	NUMBER	Number	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	2018	15	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	316	144.7029305	13.35485404	GUM	Guam	1	NUMBER	Number																								
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	320	-91.2312746	15.00273719	GTM	Guatemala	1	NUMBER	Number	113	113	113	113	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	2018	158	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	324	-11.28173419	11.00210343	GIN	Guinea	1	NUMBER	Number	114	114	114	114	114	114	114	114	114						114	114	114	114	114	114	2018	114	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	328	-58.97322037	4.788012784	GUY	Guyana	1	NUMBER	Number	65	65	65	65	65	65	65	69	69	70	70	70	67	67	67	67	69	69	69	68.2	2018	69	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
2018.Q2.G.01	SG_GEN_PARLNT	Number of seats in national parliaments (number)	332	-72.33640958	18.40426539	HTI	Haiti	1	NUMBER	Number	83	83	83	83	83	83	83	98	98	98	98	18	95	95	95	95	92	117	118	103.4	2018	118	Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.	C
