series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	CU_USD_M	millions of current United States dollars	18.048171	0.763433	2.443606	2.133379	3.989449	72.554566	7.129904	7.440395	24.636382	0.004197	0.718053	0		6.339658	2016	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	CU_USD_M	millions of current United States dollars					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	CU_USD_M	millions of current United States dollars	0		0.014299	0	0.462947	0	0	0.002956	45.882205	26.058221	0.004908	0.007729	0	14.3906126	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	CU_USD_M	millions of current United States dollars	0			0	0	2.833509	0	0	0	0.022861				0.0114305	2014	0.022861	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	CU_USD_M	millions of current United States dollars													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_AGLN	Direct agriculture loss attributed to disasters (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	CU_USD_M	millions of current United States dollars	1180.567736	553.77529	653.463113	75.253305	497.943854										2009	497.943854	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
