series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage	-8.74871	-9.60183	57.38961	3.13633	-2.12947	5.72925	5.6926	12.93953	-0.20678	14.25158	0.37289	5.36849	7.35843	3.00376	-0.16482	-4.6394	0.8113	1.273854	2016	0.8113	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	6.72726	8.2781	4.64982	5.80081	5.96639	6.16282	6.76414	7.04956	8.65916	4.36653	4.48668	3.03128	1.64716	1.0387	1.71187	2.13989	3.26047	1.959618	2016	3.26047	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																						
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	2.40846	1.66819	4.27025	5.84867	2.94163	4.44507	0.22626	1.82591	0.75318	-0.13329	1.73015	0.93833	1.34584	0.72806	1.74394	1.72799	1.4314	1.395446	2016	1.4314	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																						
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage	-0.41227	1.51784	2.35499	7.36666	3.32467	3.82512	1.79487	-2.00718	-9.87404	-4.37595	-5.34426	-3.85185	-0.03974	2.39251	4.29811	2.40498	2.19242	2.249656	2016	2.19242	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	-0.02404	-0.15366	10.68869	-0.5786	7.05769	10.98855	7.63991	10.01039	7.27425	-3.02097	1.0695	-0.15716	4.74655	1.31247	0.52695	-2.47181	-3.95482	0.031868	2016	-3.95482	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage	4.4541	-6.60006	-0.39173	4.81014	4.58154	5.22492	10.65179	8.71792	-1.216	-13.14349	-8.25879	-3.16146	2.37504	-1.17304	3.98484	2.96921	4.25734	2.482678	2016	4.25734	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	10.15588	8.90295	8.38464	9.09659	8.12203	26.61691	33.03917	24.10985	9.36787	8.11337	3.36904	-2.83876	0.795	4.50731	1.3769	-0.54176	-3.57097	0.513296	2016	-3.57097	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
2018.Q2.G.01	NY_GDP_PCAP	Annual growth rate of real GDP per capita (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	-1.885	-5.46511	-11.87719	7.64381	7.84909	7.69269	6.91803	7.88585	2.99517	-6.88015	8.99144	4.90213	-2.06057	1.33845	-3.5142	1.6159	-3.25557	-1.175198	2016	-3.25557	United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)	CA
