"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfSpeed_Code","TypeOfSpeed_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","","","","","","","51962","8170",2016.0,"8170","Data nature not available","Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","[2016]: 3183 Mbps/8170 users  1/3 Shares // [2015]: 4330 Mbps/51962 users
1/3 Shares"
"4","Afghanistan","AFG","66.02688198","33.83160199","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","","","","","","","500","131",2016.0,"131","Data nature not available","Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","[2016]: 1305 Mbps/131 users  1/3 Shares // [2015]: 1350 Mbps/500 users
1/3 Shares"
"4","Afghanistan","AFG","66.02688198","33.83160199","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","","","200","220","500","500","500","1000","1500","","1500","1500","1500","169523","8801",2016.0,"8801","Data nature not available","[2015-2016]: Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT) // [2007-2008,2010,2012-2014]: ITU estimate. // [2004-2006,2009]: Ministry of Communications.","[2015]: 4330 mbps/51962 users 1/3 Shares
5680 Mbps/52462 users 1/3 Shares // [2013]: 515 WIMAX+1500 DSL"
"4","Afghanistan","AFG","66.02688198","33.83160199","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","","","","","","","350","500",2016.0,"500","Data nature not available","Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)","[2015]: 17385 Mbps/350 users // [2016]: 26286 Mbps/500 users"
"8","Albania","ALB","20.06660928","41.13897007","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","","","","110522","132052","175153","215443","203226",2016.0,"203226","Data nature not available","[2014-2016]: Minister of State for the Innovation and Public Administration // [2012-2013]: National Agency on Information Society",""
"8","Albania","ALB","20.06660928","41.13897007","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","","","","272","","10000","64000","92000","105539","128210","160088","182556","207931","242870","266379",2016.0,"266379","Data nature not available","[2005]: ITU estimate. // [2010-2011]: Minister for Innovation and ICT // [2014-2016]: Minister of State for the Innovation and Public Administration // [2013]: Ministry of Innovation and Public Administration/National Agency for Information Society // [2008]: Ministry of Public Works Transport and Telcommunication. National Agency of Information Society. // [2007,2009]: Ministry of Transport and Telecommunications. // [2012]: National Agency on Information Society",""
"8","Albania","ALB","20.06660928","41.13897007","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","","","","34658","34026","18736","12645","18614",2016.0,"18614","Data nature not available","[2014-2016]: Minister of State for the Innovation and Public Administration // [2012-2013]: National Agency on Information Society",""
"8","Albania","ALB","20.06660928","41.13897007","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","","","","14908","16478","14075","14777","44539",2016.0,"44539","Data nature not available","[2014-2016]: Minister of State for the Innovation and Public Administration // [2012-2013]: National Agency on Information Society",""
"10","Antarctica","ATA","21.47585697","-80.40897662","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","","","","","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2MT10MBPS","Between 2 mbps and 10 mbps","","","","","","","","","","","","","","","542044","763014","978289",2016.0,"978289","Data nature not available","[2015]: Ministère de la  Poste et des Technologies de l'Information et de la Communication // [2014]: Ministère de la Poste et des Technologies de l'Information et de la Communication // [2016]: Ministère de la Poste, des Télécommunications, des Technologies et du Numérique","[2014-2015]: Refers only to ADSL subscriptions. // [2016]: Source : Algérie télécom"
"12","Algeria","DZA","2.678164227","28.15940032","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","","","","","","973977","1073883","1104493",2016.0,"1104493","Data nature not available","[2015]: Ministère de la  Poste et des Technologies de l'Information et de la Communication // [2014]: Ministère de la Poste et des Technologies de l'Information et de la Communication // [2016]: Ministère de la Poste, des Télécommunications, des Technologies et du Numérique","[2014-2015]: Refers only to ADSL subscriptions. // [2016]: Source : Algérie télécom"
"12","Algeria","DZA","2.678164227","28.15940032","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","","","","","","198","531","776770",2016.0,"776770","Data nature not available","[2015]: Ministère de la  Poste et des Technologies de l'Information et de la Communication // [2014]: Ministère de la Poste et des Technologies de l'Information et de la Communication // [2016]: Ministère de la Poste, des Télécommunications, des Technologies et du Numérique","[2014-2015]: Refers only to ADSL subscriptions. // [2016]: Source : Algérie télécom"
"12","Algeria","DZA","2.678164227","28.15940032","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","ANYS","Any speed","","","","18000","36000","135000","170000","287039","485000","818000","900000","980752","1154748","1280000","1599692","2269348","2859567",2016.0,"2859567","Data nature not available","[2004-2007]: Autorité de Régulation de la Poste et des Télecommunications (ARPT). // [2010]: Autorité de Régulation de la Poste et des Télécommunications // [2003,2008-2009]: ITU estimate. // [2015]: Ministère de la  Poste et des Technologies de l'Information et de la Communication // [2011,2014]: Ministère de la Poste et des Technologies de l'Information et de la Communication // [2016]: Ministère de la Poste, des Télécommunications, des Technologies et du Numérique // [2012-2013]: NA","A few subscriptions between 128 and 256 kbps are still included."
"16","American Samoa","ASM","-170.7187269","-14.30587306","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","256KT2MBPS","Between 256 kbps and 2 mbps","","","","","","","","","","","","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.6","Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism","17.6.2","Fixed Internet broadband subscriptions per 100 inhabitants, by speed","1","IT_NET_BBN","Number of fixed Internet broadband subscriptions, by speed (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10MBPS","10 mbps and over","","","","","","","","","","","","","","","","","","","","","",""
