"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","",""
"2","Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","",""
"5","South America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","3734.3481847558600",2017.0,"3734.3481847558600","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"9","Oceania","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","",""
"11","Western Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","193.3036176562500",2017.0,"193.3036176562500","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"13","Central America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","1179.8109963476563",2017.0,"1179.8109963476563","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"14","Eastern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","1649.9729081152340",2017.0,"1649.9729081152340","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"15","Northern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","585.9073304492188",2017.0,"585.9073304492188","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"17","Middle Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","667.2638207519531",2017.0,"667.2638207519531","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"18","Southern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_TOTL","Mountain area (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","524.1155403222656",2017.0,"524.1155403222656","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
