GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,Location_Code,Location_Desc,ReportingType_Code,ReportingType_Desc,Nature_Code,Nature_Desc,Units_Code,Units_Desc,GeoArea_Code,GeoArea_Desc,Year,TimeDetail,Value,ValueType,Source,Footnotes,ISO3CD,X,Y
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,ALLAREA,All areas,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,4,Afghanistan,2016.0,,53.1707038879395,Float,http://apps.who.int/gho/data/node.sdg.11-6,,AFG,66.02688198,33.83160199
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,URBAN,Urban,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,4,Afghanistan,2016.0,,59.8548011779785,Float,http://apps.who.int/gho/data/node.sdg.11-6,,AFG,66.02688198,33.83160199
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,URBAN,Urban,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,8,Albania,2016.0,,18.1720695495605,Float,http://apps.who.int/gho/data/node.sdg.11-6,,ALB,20.06660928,41.13897007
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,ALLAREA,All areas,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,8,Albania,2016.0,,17.8698272705078,Float,http://apps.who.int/gho/data/node.sdg.11-6,,ALB,20.06660928,41.13897007
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,URBAN,Urban,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,12,Algeria,2016.0,,34.5022430419922,Float,http://apps.who.int/gho/data/node.sdg.11-6,,DZA,2.678164227,28.15940032
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,ALLAREA,All areas,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,12,Algeria,2016.0,,35.1679573059082,Float,http://apps.who.int/gho/data/node.sdg.11-6,,DZA,2.678164227,28.15940032
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,ALLAREA,All areas,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,20,Andorra,2016.0,,9.9491825103760,Float,http://apps.who.int/gho/data/node.sdg.11-6,,AND,1.576257417,42.54548611
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,URBAN,Urban,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,20,Andorra,2016.0,,11.5170726776123,Float,http://apps.who.int/gho/data/node.sdg.11-6,,AND,1.576257417,42.54548611
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,ALLAREA,All areas,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,24,Angola,2016.0,,27.9496593475342,Float,http://apps.who.int/gho/data/node.sdg.11-6,,AGO,17.57817062,-12.33724746
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,URBAN,Urban,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,24,Angola,2016.0,,28.4056110382080,Float,http://apps.who.int/gho/data/node.sdg.11-6,,AGO,17.57817062,-12.33724746
11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.6,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management",11.6.2,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities (population weighted),1,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",2019.Q1.G.01,ALLAREA,All areas,G,Global,E,Estimated data,mgr/m^3,Micrograms per cubic meter,28,Antigua and Barbuda,2016.0,,17.9172744750977,Float,http://apps.who.int/gho/data/node.sdg.11-6,,ATG,-61.7999755,17.07761471
