"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","2732906.636","2734226.364","2736423.531","2738631.696","2737297.472","2734633.24","2731551.833","2731570.953","2725331.831","2726238.006","2727156.848","2727520.545",2016.0,"2727520.545","Country data","Global Surface Water Explorer extraction for UN Environment"
"2","Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","244007.732","243169.5393","242258.5311","241878.0682","241978.9674","242240.2533","242776.6054","243421.4298","243450.4329","243311.8535","243128.1168","242822.7791",2016.0,"242822.7791","Country data","Global Surface Water Explorer extraction for UN Environment"
"5","South America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","205000.1794","205913.5125","206743.743","206597.2166","206495.0212","205719.5115","204517.72","203965.9186","203542.0774","202833.716","201997.979","202277.6789",2016.0,"202277.6789","Country data","Global Surface Water Explorer extraction for UN Environment"
"9","Oceania","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","27224.22389","26698.2474","26084.61675","25926.7786","26051.02051","25993.69781","26112.59551","27073.42241","27971.28598","28242.97012","28438.8489","28307.1871",2016.0,"28307.1871","Country data","Global Surface Water Explorer extraction for UN Environment"
"11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","16771.41245","16731.16432","16641.65097","16605.17072","16748.99538","16845.86048","16935.3023","17171.80686","17425.4291","17627.62386","17656.23618","17524.94329",2016.0,"17524.94329","Country data","Global Surface Water Explorer extraction for UN Environment"
"13","Central America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","22413.39486","22634.62407","22916.54844","23248.40663","23552.23392","23674.42422","23789.69714","23879.59562","23789.68173","23540.471","23593.50929","23618.82754",2016.0,"23618.82754","Country data","Global Surface Water Explorer extraction for UN Environment"
"14","Eastern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","168963.4671","168539.9867","168004.7442","167790.8956","167727.0153","167560.5897","167667.0849","167837.1537","167647.6511","167484.5082","167449.001","167370.2738",2016.0,"167370.2738","Country data","Global Surface Water Explorer extraction for UN Environment"
"15","Northern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","9855.74076","9745.18349","9500.10718","9366.94795","9258.08397","9358.94915","9492.15407","9613.01997","9497.66257","9507.16981","9380.66986","9365.45115",2016.0,"9365.45115","Country data","Global Surface Water Explorer extraction for UN Environment"
"17","Middle Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","44593.49105","44568.52848","44551.14209","44634.27586","44644.68073","44769.03656","44807.9786","44847.32841","44813.45676","44608.82525","44452.87517","44367.71259",2016.0,"44367.71259","Country data","Global Surface Water Explorer extraction for UN Environment"
"18","Southern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPN","Water body extent (permanent and maybe permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","3823.62062","3584.67631","3560.88665","3480.778","3600.19197","3705.81747","3874.08554","3952.12084","4066.23333","4083.7264","4189.33461","4194.39826",2016.0,"4194.39826","Country data","Global Surface Water Explorer extraction for UN Environment"
