ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Latest_Year,Latest_Value
CAN,-101.6575058,57.72360191,124,Canada,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,DFO - only data for the Fisheries and Oceans Canada ,DFO - only data for the Fisheries and Oceans Canada ,DFO - only data for the Fisheries and Oceans Canada ,DFO - only data for the Fisheries and Oceans Canada ,DFO - only data for the Fisheries and Oceans Canada ,CA,CA,CA,CA,CA,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,,,,,,0.51005,0.54435,0.59963,0.5397,0.52599,2013.0,0.52599
CHL,-71.23029019,-35.2652885,152,Chile,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,CA,CA,CA,CA,,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,,,,,,,0.358,0.11475,0.14537,0.19895,,2012.0,0.19895
COL,-73.07446751,3.888209046,170,Colombia,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,CA,CA,CA,CA,CA,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,,,,,,0.39738,0.39145,0.42609,0.35902,0.35322,2013.0,0.35322
HRV,17.95874553,45.45172212,191,Croatia,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,CA,,,,,Country submission for Ocean Science data and UIS for R/D,,,,,,,,,,4.73095,2013.0,4.73095
ECU,-78.37005241,-1.447785891,218,Ecuador,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,CA,CA,CA,,,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,,,,,,,,0.02167,0.02744,0.04796,,,2011.0,0.04796
FIN,23.308447,61.91586738,246,Finland,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,CA,CA,CA,CA,CA,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,,,,,,0.13736,0.15909,0.00017,0.20056,0.19544,2013.0,0.19544
FRA,2.457288129,46.62660861,250,France,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,CA,,,,,Country submission for Ocean Science data and UIS for R/D,,,,,,,,,,0.79318,2013.0,0.79318
DEU,10.3806066,51.08862743,276,Germany,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,,,,,CA,,,,,Country submission for Ocean Science data and UIS for R/D,,,,,,,,,,0.39863,2013.0,0.39863
ARG,-65.14563274,-35.19446255,32,Argentina,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,CA,CA,CA,CA,,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,,,,,,,0.11418,0.1368,0.1505,0.22582,,2012.0,0.22582
IND,79.3608464,22.34642074,356,India,14,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development",14.a,"Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries",14.a.1,Proportion of total research budget allocated to research in the field of marine technology,2,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),2019.Q1.G.01,G,Global,PERCENT,Percentage,,,,,,CA,CA,CA,,,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,Country submission for Ocean Science data and UIS for R/D,,,,,,,,0.61418,0.76912,0.91785,,,2011.0,0.91785
