series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Mode of transportation	Units description	Mode of transportation description	2016	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	4	66.02688198	33.83160199	AFG	Afghanistan	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	4	66.02688198	33.83160199	AFG	Afghanistan	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	4	66.02688198	33.83160199	AFG	Afghanistan	3	T_KM	ROA	Tonne kilometres	road transport	7188102435.92605	2016	7188102435.92605	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	8	20.06660928	41.13897007	ALB	Albania	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	8	20.06660928	41.13897007	ALB	Albania	2	T_KM	RAI	Tonne kilometres	rail transport	52411508.03857	2016	52411508.03857	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	8	20.06660928	41.13897007	ALB	Albania	3	T_KM	ROA	Tonne kilometres	road transport	4862965804.6767	2016	4862965804.6767	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	10	21.47585697	-80.40897662	ATA	Antarctica	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	10	21.47585697	-80.40897662	ATA	Antarctica	2	T_KM	RAI	Tonne kilometres	rail transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	10	21.47585697	-80.40897662	ATA	Antarctica	3	T_KM	ROA	Tonne kilometres	road transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	2.678164227	28.15940032	DZA	Algeria	1	T_KM	AIR	Tonne kilometres	air transport					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	2.678164227	28.15940032	DZA	Algeria	2	T_KM	RAI	Tonne kilometres	rail transport	1483213020.19086	2016	1483213020.19086	The International Transport Forum at the OECD (ITF-OECD)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	2.678164227	28.15940032	DZA	Algeria	3	T_KM	ROA	Tonne kilometres	road transport					
