"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"21","Northern America","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"29","Caribbean","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"30","Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","5111430.56","3335232.26","3941363.86","3825973.92","1373986.23","4129666.51","4023014.52","45584409.89","1484007.57","6797216.3202",2015.0,"6797216.3202","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by countries in this group"
"34","Southern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","11388774.62","19270094.33","62019445.53","14280251.55","139596510.4","25180389.95","22934891.63","134467724.17","12016238.45","10052249.02",2015.0,"10052249.02","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by countries in this group"
"35","South-Eastern Asia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","14840185.16","70637695.14","21296713.85","8877237.85","14360149.95","54804421.08","89956115.43","59841748.68","12176249.48","16272228.17166",2015.0,"16272228.17166","Global monitoring data","2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)","Sum of country-specific commitments received by countries in this group"
"39","Southern Europe","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"54","Melanesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
"57","Micronesia","17","Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development","17.19","By 2030, build on existing initiatives to develop measurements of progress on sustainable development that complement gross domestic product, and support statistical capacity-building in developing countries","17.19.1","Dollar value of all resources made available to strengthen statistical capacity in developing countries","1","SG_STT_CAPTY","Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)","2019.Q1.G.01","CU_USD","USD","G","Global","","","","","","","","","","","","","","",""
