series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number	2051	189	28	14	1721	9963	50	367	1177	507	260	11		488.75	2016	11	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number	61328		9182	4060	420	2597	3842	11940	133856	6306036	6250	380258	4043	1366088.6	2017	4043	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number	0			2079	0	476	0	0	0	2				1	2014	2	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number	841	5924	13665	1195	1434										2009	1434	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	Number													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_DADN	Number damaged dwellings attributed to disasters (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	Number																		
