series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number																			37	37	37	37	37	37	37	37	37	37	37	37	2018	37	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number		2	5	6	17	23	23	23	23	23	25	25	28	28	28	31	31	31	37	37	37	38	36	34	34	34	34	34	34	34	2018	34	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	16	16	16	16	16	16	16	16	16	16	16	16	2018	16	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number																																		
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number	1	1	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	18	18	18	18	18	18	18	18	18	18	18	18	2018	18	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number					4	4	4	4	4	4	4	4	4	4	4	4	4	4	8	8	8	8	8	8	8	8	8	8	8	8	2018	8	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	29	29	29	29	29	29	29	29	29	29	29	29	2018	29	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number			2	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6	19	19	19	19	19	19	19	19	19	19	19	19	2018	19	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	Number	4	4	8	12	13	14	14	14	14	14	15	15	15	17	20	18	18	18	118	118	118	118	118	118	118	118	118	118	118	118	2018	118	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	Number	0	0	0	0	2	2	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	Number																			1	1	1	1	1	1	1	1	1	1	1	1	2018	1	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_UNK_LBREDN	Local breeds classified as being at unknown level of risk of extinction (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	Number																			1	1	1	1	1	1	1	1	1	1	1	1	2018	1	DAD-IS 2018 http://www.fao.org/dad-is/	C
