series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	CU_USD	USD	156.98	391.65	1309.59	1609.61	2346.36	2881.22	3006.78	5084.5	4935.56	6307.41	6520.27	6943.05	6684.12	5239.09	4950.9	4359.23	4156.64	5077.996	2016	4156.64	DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	CU_USD	USD	231.12	343.81	320.37	380.18	526.36	477.79	506.12	674.99	866.36	836.26	969.07	939.72	718.27	146.16	491.67	659.84	135.72	430.332	2016	135.72	DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	CU_USD	USD																						
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	CU_USD	USD	-401.31	67.19	-412.75	2345.62	-1360.84	-1390.14	-3694.17	2121.75	337.46	3013.66	1301.37	1634.87	-2543.58	1107.83	1302.74	2790.64	2380.07	1007.54	2016	2380.07	DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	CU_USD	USD																						
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	CU_USD	USD																						
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	CU_USD	USD	117.51	848.4	-344.44	443.05	1084.91	1667.99	777.04	-290.45	2983.32	3582.54	909.96	3177.54	257.87	5642.43	5333.06	-1391.5	4466.45	2861.662	2016	4466.45	DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	CU_USD	USD	429.05	-102.08	-158.16	-123.91	66.23	-121.58	-36.75	45.47	-74.48	-159.48	50.04	-9.43	-0.46	22.38	66.68	89.64	-4.93	34.662	2016	-4.93	DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	CU_USD	USD	673.48	489.13	687.74	1515.33	1821.01	1519.35	1800.42	2629.27	2291.28	1007.64	1139.62	1638.84	1024.41	1188.74	718.17	1307.73	1641.01	1176.012	2016	1641.01	DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	CU_USD	USD	7959.18	224.58	-5725.36	-3847	-1729.46	-4982.62	4125.98	6134.15	4811.12	2100.5	-2778.29	4188.45	1574.39	3020.52	2833.27	8722.69	2035.3	3637.234	2016	2035.3	DAC Statistics database, 2018, The Organisation for Economic Co-operation and Development (OECD)	
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	CU_USD	USD																						
2018.Q2.G.01	DC_TRF_TOTL	Total assistance for development, by recipient countries (millions of current United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	CU_USD	USD																						
