series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number	207	12	7	2	11	57	18	203	20	5	26	24		18.75	2016	24	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number																		
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number	3		2	5	1	8	8	9	16	8	16	24	5	13.8	2017	5	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number	0			5	0	64	69	51	0	0				0	2014	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_CDYN	Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number	212	205	596	532	282										2009	282	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
