series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage																			0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage		0	44.44444	40	26.08696	20.68966	20.68966	20.68966	20.68966	20.68966	16.12903	16.12903	14.28571	14.28571	14.28571	5.71429	5.71429	5.71429	4.87805	4.87805	4.87805	4.87805	2.43902	9.30233	9.30233	9.30233	9.30233	9.30233	9.30233	9.30233	2018	9.30233	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage																																		
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018	0	DAD-IS 2018 http://www.fao.org/dad-is/	C
2018.Q2.G.01	ER_RSK_LBRED	Proportion of local breeds classified as being not-at-risk (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	13.63636	13.63636	13.04348	13.04348	11.671936	2018	13.04348	DAD-IS 2018 http://www.fao.org/dad-is/	C
