"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"19","Americas","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.89018","2.89389","2.89805","2.89848","2.90014","2.89995","2.8967","2.89826","2.89404","2.89348","2.89344","2.89674",2016.0,"2.89674","Country data","Global Surface Water Explorer extraction for UN Environment"
"21","Northern America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.75326","4.75481","4.75715","4.75689","4.75921","4.76185","4.76062","4.76614","4.76134","4.76525","4.76914","4.77433",2016.0,"4.77433","Country data","Global Surface Water Explorer extraction for UN Environment"
"29","Caribbean","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.82833","1.8337","1.85594","1.87029","1.87292","1.91335","1.9397","1.95424","1.97671","1.98144","2.0004","2.00353",2016.0,"2.00353","Country data","Global Surface Water Explorer extraction for UN Environment"
"30","Eastern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.11781","1.12607","1.13933","1.15171","1.14945","1.15251","1.16037","1.16458","1.17527","1.1863","1.19197","1.19219",2016.0,"1.19219","Country data","Global Surface Water Explorer extraction for UN Environment"
"34","Southern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.30365","1.30754","1.31277","1.32368","1.32693","1.32558","1.31994","1.31772","1.30718","1.30431","1.307","1.30384",2016.0,"1.30384","Country data","Global Surface Water Explorer extraction for UN Environment"
"35","South-Eastern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.42187","1.42289","1.42752","1.4443","1.45448","1.46397","1.46903","1.48279","1.48727","1.48011","1.47984","1.46728",2016.0,"1.46728","Country data","Global Surface Water Explorer extraction for UN Environment"
"39","Southern Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.97184","0.97886","0.98066","0.98344","0.98354","0.97914","0.98868","0.99659","0.99901","1.01195","1.02348","1.02227",2016.0,"1.02227","Country data","Global Surface Water Explorer extraction for UN Environment"
"53","Australia and New Zealand","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.26024","0.25353","0.24567","0.24285","0.24377","0.24178","0.24296","0.25477","0.26546","0.26905","0.27191","0.27164",2016.0,"0.27164","Country data","Global Surface Water Explorer extraction for UN Environment"
"54","Melanesia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.14641","1.14753","1.14938","1.16183","1.17176","1.19093","1.19616","1.20044","1.20984","1.20778","1.202","1.1809",2016.0,"1.1809","Country data","Global Surface Water Explorer extraction for UN Environment"
"57","Micronesia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","5.53599","5.58621","5.5876","5.57243","5.5362","5.51304","5.49194","5.48397","5.45098","5.39437","5.3875","5.40291",2016.0,"5.40291","Country data","Global Surface Water Explorer extraction for UN Environment"
"61","Polynesia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.02806","4.0293","4.03932","4.05235","4.04864","4.04229","4.01722","4.01923","4.01701","4.00163","3.99427","4.01329",2016.0,"4.01329","Country data","Global Surface Water Explorer extraction for UN Environment"
"62","Central and Southern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.56491","3.56259","3.55471","3.54984","3.51905","3.48622","3.45606","3.43049","3.39776","3.38526","3.37505","3.35789",2016.0,"3.35789","Country data","Global Surface Water Explorer extraction for UN Environment"
"97","European Union","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"135","Caucasus and Central Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"142","Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.10871","2.11219","2.1163","2.12219","2.1117","2.10219","2.09506","2.08962","2.08287","2.08262","2.08166","2.07414",2016.0,"2.07414","Country data","Global Surface Water Explorer extraction for UN Environment"
"143","Central Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.25154","7.23911","7.20986","7.17926","7.09201","7.00787","6.93777","6.87413","6.80522","6.77703","6.7458","6.70583",2016.0,"6.70583","Country data","Global Surface Water Explorer extraction for UN Environment"
"145","Western Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.97557","1.98237","1.98975","1.9933","1.98851","1.9818","1.97723","1.97458","1.97166","1.97691","1.97934","1.97851",2016.0,"1.97851","Country data","Global Surface Water Explorer extraction for UN Environment"
"150","Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.11319","3.11412","3.11819","3.12158","3.12649","3.12718","3.12655","3.12431","3.11087","3.11581","3.1211","3.12945",2016.0,"3.12945","Country data","Global Surface Water Explorer extraction for UN Environment"
"151","Eastern Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.15194","3.15152","3.15512","3.15889","3.16571","3.16747","3.16712","3.16451","3.14839","3.15111","3.15544","3.16359",2016.0,"3.16359","Country data","Global Surface Water Explorer extraction for UN Environment"
"154","Northern Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","5.702","5.7107","5.72162","5.72237","5.71122","5.70503","5.692","5.68425","5.67882","5.7013","5.71393","5.73588",2016.0,"5.73588","Country data","Global Surface Water Explorer extraction for UN Environment"
"155","Western Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"158","Other non-specified areas","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.07701","1.07497","1.07229","1.07289","1.07361","1.07433","1.07525","1.07767","1.07667","1.07529","1.07523","1.07384",2016.0,"1.07384","Country data","Global Surface Water Explorer extraction for UN Environment"
"202","Sub-Saharan Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.10114","1.09771","1.09458","1.09342","1.09441","1.09516","1.09706","1.09952","1.1002","1.0995","1.0992","1.09782",2016.0,"1.09782","Country data","Global Surface Water Explorer extraction for UN Environment"
"223","Eastern Asia (excluding Japan and China)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPP","Water body extent (permanent and maybe permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
