series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of skill	Units description	Type of skill description	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	4	Ratio	TRAF	Ratio	transferring files between a computer and other devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	5	Ratio	EPRS	Ratio	creating electronic presentations with presentation software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	6	Ratio	COPA	Ratio	using copy and paste tools to duplicate or move information within a document								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	7	Ratio	SOFT	Ratio	finding, downloading, installing and configuring software								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	8	Ratio	EMAIL	Ratio	sending e-mails with attached files								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	9	Ratio	INST	Ratio	connecting and installing new devices								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	1	Ratio	CMFL	Ratio	Copying or moving a file or folder								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	2	Ratio	PCPR	Ratio	writing a computer program using a specialized programming language								
2018.Q2.G.01	SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	8	20.06660928	41.13897007	ALB	Albania	3	Ratio	ARSP	Ratio	using basic arithmetic formula in a spreadsheet								
