"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Level/Status_Code","Level/Status_Desc","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes","ISO3CD","X","Y"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","LOWIMP","Low level of implementation","G","Global","C","Country data","PERCENT","Percentage","4","Afghanistan",2017.0,"","12","Float","UN Environment","","AFG","66.02688198","33.83160199"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","8","Albania",2017.0,"","43","Float","UN Environment","","ALB","20.06660928","41.13897007"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","12","Algeria",2017.0,"","48","Float","UN Environment","","DZA","2.678164227","28.15940032"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","20","Andorra",2017.0,"","36","Float","UN Environment","","AND","1.576257417","42.54548611"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","24","Angola",2017.0,"","37","Float","UN Environment","","AGO","17.57817062","-12.33724746"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","LOWIMP","Low level of implementation","G","Global","C","Country data","PERCENT","Percentage","28","Antigua and Barbuda",2017.0,"","30","Float","UN Environment","","ATG","-61.7999755","17.07761471"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","32","Argentina",2017.0,"","38","Float","UN Environment","","ARG","-65.14563274","-35.19446255"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","MLOWIMP","Medium-low level of implementation","G","Global","C","Country data","PERCENT","Percentage","51","Armenia",2017.0,"","36","Float","UN Environment","","ARM","44.93839317","40.29499741"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","36","Australia",2017.0,"","86","Float","UN Environment","","AUS","134.3499412","-25.57717202"
"6","Ensure availability and sustainable management of water and sanitation for all","6.5","By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate","6.5.1","Degree of integrated water resources management implementation (0-100)","1","ER_H2O_IWRMD","Degree of integrated water resources management implementation (%)","2019.Q1.G.01","HIGIMP","High level of implementation","G","Global","C","Country data","PERCENT","Percentage","53","Australia and New Zealand",2017.0,"","72","Float","UN Environment","Based on 157 countries' response to the 2017 Integrated Water Resources Management questionnaire.","","",""
