series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Education level	Units description	Education level description	2000	2003	2006	2007	2009	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	1	Ratio	LOWSEC	Ratio	lower secondary															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	4	66.02688198	33.83160199	AFG	Afghanistan	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	8	20.06660928	41.13897007	ALB	Albania	1	Ratio	LOWSEC	Ratio	lower secondary	0.85227				0.46383		0.96583				0.96583	2012	0.96583	Programme for International Student Assessment (OECD)	C
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	8	20.06660928	41.13897007	ALB	Albania	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	8	20.06660928	41.13897007	ALB	Albania	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	1	Ratio	LOWSEC	Ratio	lower secondary															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	2	Ratio	GRAD23	Ratio	grades 2/3															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	10	21.47585697	-80.40897662	ATA	Antarctica	3	Ratio	PRIMAR	Ratio	primary															
2018.Q2.G.01	SE_LGP_ACHIMA	Language test parity index for achievement in mathematics, by education level (ratio)	12	2.678164227	28.15940032	DZA	Algeria	1	Ratio	LOWSEC	Ratio	lower secondary				0.99205						1.46813	1.46813	2015	1.46813	Programme for International Student Assessment (OECD)	C
