series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Units	Age description	Units description	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	NUMBER	15 years old and over	Number	0.37365	0.59331	0.93769	1.25291	1.49115	2.24163	2.40094	2.23095	2.15297	2.27745	2.33223	2.191	2.21525	2.23378	2016	2.21525	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	8	20.06660928	41.13897007	ALB	Albania	1	15+	NUMBER	15 years old and over	Number	9.67682	11.69609	13.82393	18.60144	23.49872	24.00591	24.13042	24.09378	24.01735	23.40908	21.94187	21.85142	21.50958	22.54586	2016	21.50958	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	12	2.678164227	28.15940032	DZA	Algeria	1	15+	NUMBER	15 years old and over	Number	4.70424	4.69769	4.92094	5.03748	5.21223	5.14242	5.03236	5.15662	5.20012	5.19231	5.18849	5.23427	5.23446	5.20993	2016	5.23446	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	16	-170.7187269	-14.30587306	ASM	American Samoa	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	20	1.576257417	42.54548611	AND	Andorra	1	15+	NUMBER	15 years old and over	Number																		
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	24	17.57817062	-12.33724746	AGO	Angola	1	15+	NUMBER	15 years old and over	Number	1.80997	2.23799	3.38051	3.87974	4.67002	5.23804	7.44677	8.40913	9.06792	10.17499	10.20332	10.43881	10.28611	10.03423	2016	10.28611	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	15+	NUMBER	15 years old and over	Number						36.60215	35.98002	33.97172	33.41036	32.86771	29.6464	27.85774	27.44739	30.24592	2016	27.44739	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	31	50.01064725	40.39229544	AZE	Azerbaijan	1	15+	NUMBER	15 years old and over	Number	6.51808	6.75205	7.33347	8.20872	9.1875	9.78643	9.86153	10.00147	9.69745	10.20297	10.82791	10.66056		10.3472225	2015	10.66056	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
2018.Q2.G.01	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	32	-65.14563274	-35.19446255	ARG	Argentina	1	15+	NUMBER	15 years old and over	Number	13.27586	13.08727	13.09552	13.04716	12.98195	12.85054	12.87727	12.9979	13.09527	13.13303	13.12697	13.16881	13.3689	13.178596	2016	13.3689	Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS	C
