"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Value_2010","Value_2013","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"8","Albania","ALB","20.06660928","41.13897007","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"10","Antarctica","ATA","21.47585697","-80.40897662","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","11.800","",2016.0,"11.800","Country data","Environment Live"
"24","Angola","AGO","17.57817062","-12.33724746","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
"32","Argentina","ARG","-65.14563274","-35.19446255","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","M_M3_PER_YR","Million of cubic metres per annum","G","Global","UNIT","Units","","","","","","","","",""
