"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes","ISO3CD","X","Y"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","40","Austria",2017.0,"","91.94","Float","Environment Live","","AUT","14.14172472","47.58704857"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","72","Botswana",2017.0,"","94.44","Float","Environment Live","","BWA","23.81380223","-22.18810073"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","76","Brazil",2017.0,"","74.63","Float","Environment Live","","BRA","-53.08432878","-10.77668561"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","233","Estonia",2017.0,"","100","Float","Environment Live","","EST","25.84093481","58.68487172"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","242","Fiji",2017.0,"","100","Float","Environment Live","","FJI","177.9660884","-17.83301566"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","246","Finland",2017.0,"","80.82","Float","Environment Live","","FIN","23.308447","61.91586738"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","276","Germany",2017.0,"","72.41","Float","Environment Live","","DEU","10.3806066","51.08862743"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","348","Hungary",2017.0,"","41.77","Float","Environment Live","","HUN","19.41221519","47.1651448"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","372","Ireland",2017.0,"","45.78","Float","Environment Live","","IRL","-7.121425272","53.25274054"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","392","Japan",2017.0,"","75","Float","Environment Live","","JPN","139.2716103","36.6554539"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","404","Kenya",2017.0,"","0","Float","Environment Live","","KEN","37.86096816","0.534797278"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","428","Latvia",2017.0,"","52.9","Float","Environment Live","","LVA","26.42461876","56.64196636"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","422","Lebanon",2017.0,"","0","Float","Environment Live","","LBN","35.89391711","33.92152458"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","426","Lesotho",2017.0,"","0","Float","Environment Live","","LSO","28.25362195","-29.58041814"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","440","Lithuania",2017.0,"","74.69","Float","Environment Live","","LTU","23.90517807","55.33680309"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","450","Madagascar",2017.0,"","94.59","Float","Environment Live","","MDG","46.6982339","-19.38514785"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","584","Marshall Islands",2017.0,"","100","Float","Environment Live","","MHL","171.0839119","7.110213497"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","499","Montenegro",2017.0,"","100","Float","Environment Live","","MNE","19.25214024","42.78717043"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","504","Morocco",2017.0,"","85.94","Float","Environment Live","","MAR","-6.281942841","31.8440131"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","528","Netherlands",2017.0,"","53.22","Float","Environment Live","","NLD","5.331480568","51.86728884"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","566","Nigeria",2017.0,"","41","Float","Environment Live","","NGA","8.097363256","9.585789025"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","616","Poland",2017.0,"","38.51","Float","Environment Live","","POL","19.40660158","52.1226733"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","410","Republic of Korea",2017.0,"","0","Float","Environment Live","","KOR","127.8610254","36.45201023"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","642","Romania",2017.0,"","62.61","Float","Environment Live","","ROU","24.98481009","45.83893563"
"6","Ensure availability and sustainable management of water and sanitation for all","6.3","By 2030, improve water quality by reducing pollution, eliminating dumping and minimizing release of hazardous chemicals and materials, halving the proportion of untreated wastewater and substantially increasing recycling and safe reuse globally","6.3.2","Proportion of bodies of water with good ambient water quality","3","EN_H2O_OPAMBQ","Proportion of open water bodies with good ambient water quality (%)","2019.Q1.G.01","G","Global","C","Country data","PERCENT","Percentage","646","Rwanda",2017.0,"","0","Float","Environment Live","","RWA","29.92310194","-1.999842114"
