"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","128.44","127.91","127.64","128.06",2015.0,"128.06","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"2","Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","165.15","165.31","166.01","166.90",2015.0,"166.90","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"5","South America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","200.81","201.66","202.78","205.32",2015.0,"205.32","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"9","Oceania","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","269.47","270.18","271.37","272.28",2015.0,"272.28","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"11","Western Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","158.39","157.67","157.77","156.99",2015.0,"156.99","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"13","Central America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","78.19","77.52","76.75","75.99",2015.0,"75.99","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"14","Eastern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","121.33","122.05","122.82","123.97",2015.0,"123.97","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"15","Northern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","142.02","133.26","131.56","131.82",2015.0,"131.82","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"17","Middle Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","203.68","203.65","203.78","203.99",2015.0,"203.99","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"18","Southern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOPHA","Above-ground biomass in forest per hectare (tonnes per hectare)","2019.Q1.G.01","T_PER_HA","Tonnes per hectare","G","Global","88.66","90.49","92.42","94.16",2015.0,"94.16","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
