series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	4	66.02688198	33.83160199	AFG	Afghanistan	1	KMSQ	Square kilometers																							
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	8	20.06660928	41.13897007	ALB	Albania	1	KMSQ	Square kilometers																		304.39251	304.39251	2017	304.39251	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	10	21.47585697	-80.40897662	ATA	Antarctica	1	KMSQ	Square kilometers																							
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	12	2.678164227	28.15940032	DZA	Algeria	1	KMSQ	Square kilometers																		110.26722	110.26722	2017	110.26722	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	KMSQ	Square kilometers																		35457.57734	35457.57734	2017	35457.57734	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	20	1.576257417	42.54548611	AND	Andorra	1	KMSQ	Square kilometers																							
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	24	17.57817062	-12.33724746	AGO	Angola	1	KMSQ	Square kilometers																		24.34117	24.34117	2017	24.34117	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	KMSQ	Square kilometers																		171.59498	171.59498	2017	171.59498	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	KMSQ	Square kilometers																		345.30677	345.30677	2017	345.30677	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
2018.Q2.G.01	ER_MRN_MARINT	Protected marine area (Exclusive Economic Zones) (square kilometres)	32	-65.14563274	-35.19446255	ARG	Argentina	1	KMSQ	Square kilometers																		43542.04798	43542.04798	2017	43542.04798	Protected Planet: The World Database on Protected Areas (WDPA) [On-line], January, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).	
