"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","TypeOfProduct_Code","TypeOfProduct_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","BIM","Biomass","0.31426","0.31066","0.31025","0.30792","0.30576","0.29863","0.292","0.29155","0.30482","0.30615","0.29949","0.2986","0.29184","0.29623","0.29478","0.28689","0.28566","0.28262",2017.0,"0.28262","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","WCH","Wild catch and harvest","0.00178","0.00169","0.00166","0.00156","0.00156","0.0015","0.00141","0.00136","0.00132","0.00135","0.00127","0.0013","0.00121","0.00119","0.00117","0.00114","0.00111","0.00107",2017.0,"0.00107","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","RAW","All raw materials","1.06538","1.0594","1.0646","1.07958","1.08908","1.09148","1.09609","1.10146","1.10928","1.12942","1.14722","1.16685","1.13399","1.13966","1.12786","1.1146","1.11529","1.10887",2017.0,"1.10887","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","PET","Petroleum","0.07111","0.07025","0.06914","0.06894","0.06844","0.06635","0.06468","0.06214","0.06191","0.06125","0.06033","0.0584","0.05781","0.05642","0.0565","0.05629","0.05541","0.05422",2017.0,"0.05422","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","NMM","Non-metallic minerals","0.45891","0.45662","0.461","0.4738","0.48553","0.4961","0.50567","0.51072","0.50124","0.51641","0.53587","0.54997","0.52478","0.52591","0.52451","0.52555","0.52634","0.52391",2017.0,"0.52391","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","NMC","Non-metallic minerals - construction dominant","0.44856","0.44773","0.45099","0.46293","0.47363","0.48487","0.49605","0.50041","0.49063","0.50725","0.52504","0.53877","0.51364","0.51505","0.51345","0.51443","0.51518","0.51281",2017.0,"0.51281","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","NMA","Non-metallic minerals - industrial or agricultural dominant","0.01966","0.01924","0.0195","0.01989","0.02058","0.02165","0.02049","0.02023","0.01986","0.01854","0.01948","0.02004","0.02013","0.02035","0.02102","0.02099","0.02088","0.02073",2017.0,"0.02073","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","NFO","Non-ferrous ores","0.02208","0.02087","0.02165","0.02346","0.02518","0.02587","0.03072","0.0335","0.03596","0.03644","0.04034","0.04439","0.04361","0.04567","0.04784","0.0501","0.05219","0.05053",2017.0,"0.05053","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","WOD","Wood","0.04308","0.04139","0.04133","0.0408","0.03945","0.03813","0.03636","0.03533","0.03455","0.03385","0.03382","0.03326","0.03259","0.03214","0.03181","0.03051","0.02993","0.02918",2017.0,"0.02918","Estimated data","Environment Live / Global Material Flows Database","NA"
"1","World","12","Ensure sustainable consumption and production patterns","12.2","By 2030, achieve the sustainable management and efficient use of natural resources","12.2.2","Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","1","EN_MAT_DOMCMPG","Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)","2019.Q1.G.01","KG_PER_CON_USD","Kilograms per constant USD","G","Global","GBO","Grazed biomass and fodder crops","0.06647","0.06499","0.06591","0.06519","0.0635","0.0639","0.0639","0.06349","0.06759","0.0691","0.06894","0.06361","0.06189","0.06206","0.06231","0.05766","0.05735","0.05668",2017.0,"0.05668","Estimated data","Environment Live / Global Material Flows Database","NA"
