series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number	12246738	12600642	14045789	13291651	13384908	13765392	13275429	13552633.8	2016	13275429	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number	61	53	53	55	33	16	21	35.6	2016	21	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number	10260	11831	7471	6482	5460	7561	0	5394.8	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number												
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number	0	0	0	0	0	0	0	0	2016	0	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number	15879207	16066272	16421331	17149903	17666908	18534219	14419092	16838290.6	2016	14419092	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number	134	133	117	1360	1358	158	176	633.8	2016	176	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number	1080371	1087125	1010915	345496	1678318	1699962	1719031	1290744.4	2016	1719031	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number	953102	952894	938732	9699	3733	4269	80002	207287	2016	80002	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	Number	89732	72560	60279	144692	54311	17476	20994	59550.4	2016	20994	WHO Global Health Observatory	CA
2018.Q2.G.01	SH_TRP_INTVN	Number of people requiring interventions against neglected tropical diseases (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	Number	21	7	3	11	14	8	26	12.4	2016	26	WHO Global Health Observatory	CA
