"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","56.002422",2017.0,"56.002422","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"8","Albania","ALB","20.06660928","41.13897007","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","89.333333",2017.0,"89.333333","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Validated"
"10","Antarctica","ATA","21.47585697","-80.40897662","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","44.04493",2017.0,"44.04493","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"16","American Samoa","ASM","-170.7187269","-14.30587306","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","94.499118",2017.0,"94.499118","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","96.89062",2017.0,"96.89062","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"32","Argentina","ARG","-65.14563274","-35.19446255","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","63.570468",2017.0,"63.570468","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
