"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","2669737.436","2669540.344","2672669.12","2680606.811","2691215.683","2695584.416","2693766.049","2694448.28","2685686.516","2693655.388","2697899.587","2704932.551",2016.0,"2704932.551","Country data","Global Surface Water Explorer extraction for UN Environment"
"2","Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","242968.281","242038.813","240936.0856","240388.6146","240346.1575","240872.6819","241466.8329","242250.2274","242311.8486","242527.9838","242579.1621","242381.318",2016.0,"242381.318","Country data","Global Surface Water Explorer extraction for UN Environment"
"5","South America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","203681.8092","204682.5887","205358.4245","205193.8249","205283.1648","204370.8168","203080.6637","202628.6931","202253.6038","201636.6818","201082.8823","201447.2319",2016.0,"201447.2319","Country data","Global Surface Water Explorer extraction for UN Environment"
"9","Oceania","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","26513.28149","25928.36453","25241.99427","25062.28116","25199.27789","25192.37707","25393.11501","26418.913","27294.04589","27644.90292","27950.16079","27908.87939",2016.0,"27908.87939","Country data","Global Surface Water Explorer extraction for UN Environment"
"11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","16589.05751","16509.92798","16357.71234","16294.43919","16436.23015","16577.04871","16708.25686","17008.04968","17264.31538","17497.0636","17579.76871","17426.99691",2016.0,"17426.99691","Country data","Global Surface Water Explorer extraction for UN Environment"
"13","Central America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","22347.60611","22547.03313","22808.71297","23103.28457","23418.77894","23565.4628","23699.87357","23803.8019","23728.60121","23485.35524","23547.54795","23577.47165",2016.0,"23577.47165","Country data","Global Surface Water Explorer extraction for UN Environment"
"14","Eastern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","168946.6736","168525.4999","167987.4364","167773.2451","167704.9928","167541.494","167649.4508","167821.8017","167633.6106","167477.8534","167443.1959","167366.581",2016.0,"167366.581","Country data","Global Surface Water Explorer extraction for UN Environment"
"15","Northern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","9854.30528","9743.5272","9498.82787","9365.61734","9256.44453","9357.63682","9490.93254","9612.02991","9496.72529","9506.56373","9380.28213","9365.28751",2016.0,"9365.28751","Country data","Global Surface Water Explorer extraction for UN Environment"
"17","Middle Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","43758.45112","43677.2616","43533.07451","43476.46906","43350.57531","43693.53672","43747.4308","43860.47924","43855.49932","43966.75047","43989.56328","44030.39992",2016.0,"44030.39992","Country data","Global Surface Water Explorer extraction for UN Environment"
"18","Southern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMNR","Water body extent (permanent) (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","3819.79342","3582.59626","3559.03445","3478.84388","3597.91471","3702.96567","3870.76197","3947.86691","4061.69802","4079.75253","4186.35207","4192.05269",2016.0,"4192.05269","Country data","Global Surface Water Explorer extraction for UN Environment"
