"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.05822","2.05808","2.06053","2.06665","2.07486","2.07823","2.07689","2.07742","2.07092","2.07709","2.08033","2.08574",2016.0,"2.08574","Country data","Global Surface Water Explorer extraction for UN Environment"
"2","Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.82701","0.82385","0.8201","0.81823","0.81809","0.81988","0.8219","0.82457","0.82478","0.82552","0.82567","0.82499",2016.0,"0.82499","Country data","Global Surface Water Explorer extraction for UN Environment"
"5","South America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.17283","1.17859","1.18248","1.18153","1.18205","1.17679","1.16937","1.16676","1.1646","1.16105","1.15786","1.15996",2016.0,"1.15996","Country data","Global Surface Water Explorer extraction for UN Environment"
"9","Oceania","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.31244","0.30555","0.29746","0.29534","0.29696","0.29688","0.29924","0.31133","0.32164","0.32578","0.32938","0.32889",2016.0,"0.32889","Country data","Global Surface Water Explorer extraction for UN Environment"
"11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.27358","0.27228","0.26977","0.26872","0.27106","0.27338","0.27555","0.28049","0.28472","0.28856","0.28992","0.2874",2016.0,"0.2874","Country data","Global Surface Water Explorer extraction for UN Environment"
"13","Central America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.9113","0.91944","0.93011","0.94212","0.95498","0.96097","0.96645","0.97068","0.96762","0.9577","0.96023","0.96145",2016.0,"0.96145","Country data","Global Surface Water Explorer extraction for UN Environment"
"14","Eastern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.79093","2.78398","2.77509","2.77155","2.77042","2.76772","2.7695","2.77235","2.76924","2.76667","2.76577","2.76439",2016.0,"2.76439","Country data","Global Surface Water Explorer extraction for UN Environment"
"15","Northern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.12144","0.12008","0.11706","0.11542","0.11407","0.11532","0.11696","0.11846","0.11704","0.11716","0.1156","0.11542",2016.0,"0.11542","Country data","Global Surface Water Explorer extraction for UN Environment"
"17","Middle Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.67354","0.67229","0.67007","0.6692","0.66726","0.67254","0.67337","0.67511","0.67503","0.67674","0.67709","0.67772",2016.0,"0.67772","Country data","Global Surface Water Explorer extraction for UN Environment"
"18","Southern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.14411","0.13516","0.13427","0.13124","0.13574","0.1397","0.14603","0.14894","0.15323","0.15391","0.15794","0.15815",2016.0,"0.15815","Country data","Global Surface Water Explorer extraction for UN Environment"
"19","Americas","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.86488","2.87072","2.87658","2.8782","2.8851","2.88589","2.88326","2.88265","2.87498","2.87566","2.87726","2.88157",2016.0,"2.88157","Country data","Global Surface Water Explorer extraction for UN Environment"
"21","Northern America","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.70823","4.71385","4.72067","4.72316","4.73528","4.74051","4.74096","4.7414","4.7291","4.73505","4.74078","4.74758",2016.0,"4.74758","Country data","Global Surface Water Explorer extraction for UN Environment"
"29","Caribbean","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.82683","1.83184","1.85377","1.8679","1.87037","1.9112","1.93642","1.94931","1.9715","1.97653","1.99572","2.0007",2016.0,"2.0007","Country data","Global Surface Water Explorer extraction for UN Environment"
"30","Eastern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.11194","1.12056","1.13441","1.14729","1.14662","1.15009","1.15819","1.16245","1.17236","1.18368","1.18962","1.19015",2016.0,"1.19015","Country data","Global Surface Water Explorer extraction for UN Environment"
"34","Southern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.2844","1.28627","1.29265","1.30391","1.31019","1.30848","1.30275","1.30039","1.29034","1.29041","1.29685","1.29708",2016.0,"1.29708","Country data","Global Surface Water Explorer extraction for UN Environment"
"35","South-Eastern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.41083","1.41362","1.41769","1.43249","1.44046","1.44917","1.45264","1.46262","1.46473","1.46128","1.46284","1.45384",2016.0,"1.45384","Country data","Global Surface Water Explorer extraction for UN Environment"
"39","Southern Europe","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.97058","0.97662","0.97788","0.98046","0.97968","0.97597","0.98651","0.99522","0.99776","1.01165","1.02322","1.02207",2016.0,"1.02207","Country data","Global Surface Water Explorer extraction for UN Environment"
"53","Australia and New Zealand","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.25935","0.25254","0.24482","0.24206","0.24296","0.2409","0.24219","0.25398","0.26466","0.26835","0.27141","0.27117",2016.0,"0.27117","Country data","Global Surface Water Explorer extraction for UN Environment"
"54","Melanesia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.07976","1.07277","1.0597","1.0683","1.08119","1.10654","1.11686","1.13454","1.13941","1.1413","1.1464","1.13873",2016.0,"1.13873","Country data","Global Surface Water Explorer extraction for UN Environment"
"57","Micronesia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","4.403","4.43427","4.41535","4.38068","4.33112","4.29884","4.31534","4.29613","4.30232","4.40779","4.64758","4.86583",2016.0,"4.86583","Country data","Global Surface Water Explorer extraction for UN Environment"
"61","Polynesia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","0.64967","0.55142","0.5071","0.43417","0.42028","0.7417","1.32248","1.26446","1.27572","1.86907","2.23962","2.39523",2016.0,"2.39523","Country data","Global Surface Water Explorer extraction for UN Environment"
"62","Central and Southern Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","3.46717","3.46059","3.45568","3.45506","3.43529","3.40585","3.37984","3.35369","3.31946","3.31129","3.30705","3.30362",2016.0,"3.30362","Country data","Global Surface Water Explorer extraction for UN Environment"
"97","European Union","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"135","Caucasus and Central Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","","","","","","","","","","","","",""
"142","Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","2.05778","2.0596","2.0665","2.07493","2.07061","2.06247","2.05713","2.05068","2.04285","2.04637","2.04993","2.04939",2016.0,"2.04939","Country data","Global Surface Water Explorer extraction for UN Environment"
"143","Central Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","7.02582","7.00547","6.98217","6.96217","6.89902","6.82439","6.76533","6.70039","6.62675","6.60515","6.58351","6.57411",2016.0,"6.57411","Country data","Global Surface Water Explorer extraction for UN Environment"
"145","Western Asia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_PMPR","Water body extent (permanent) (% of total land area)","2019.Q1.G.01","PERCENT","Percentage","G","Global","1.88109","1.88386","1.90195","1.91341","1.9229","1.91748","1.91637","1.91176","1.90914","1.92529","1.94177","1.95259",2016.0,"1.95259","Country data","Global Surface Water Explorer extraction for UN Environment"
