"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"4","Afghanistan","AFG","66.02688198","33.83160199","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"8","Albania","ALB","20.06660928","41.13897007","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"10","Antarctica","ATA","21.47585697","-80.40897662","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","","","","","","","","","","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"16","American Samoa","ASM","-170.7187269","-14.30587306","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"20","Andorra","AND","1.576257417","42.54548611","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"24","Angola","AGO","17.57817062","-12.33724746","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"31","Azerbaijan","AZE","50.01064725","40.39229544","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",2017.0,"0.00","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
"32","Argentina","ARG","-65.14563274","-35.19446255","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTCERT","Forest area certified under an independently verified certification scheme (thousands of hectares)","2019.Q1.G.01","HA_TH","Thousands of hectares","G","Global","UNIT","Units","0.00","0.00","33.82","53.01","77.58","77.92","77.92","222.64","207.96","310.58","449.84","525.90","254.68","262.22","276.37","275.44","470.86","490.53",2017.0,"490.53","Global monitoring data","Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment"
