series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	CU_USD_M	millions of current United States dollars	57.767666	3.779685	5.022496	3.403054	20.942068	476.465576	12.513095	12.516842	41.366595	4.228947	2.854257	0.070125		12.129981	2016	0.070125	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	CU_USD_M	millions of current United States dollars					0					0	0			0	2015	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	CU_USD_M	millions of current United States dollars																		
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	CU_USD_M	millions of current United States dollars	357.75696		86.143864	83.664	5.801291	73.024463	49.098573	98.827618	974.617627	328.028939	191.672238	2455.864411	40.006514	798.0379458	2017	40.006514	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	CU_USD_M	millions of current United States dollars	0			30.6126	0.03435	857.328699	0.228528	0.267864	0.2007	0.346285				0.2734925	2014	0.346285	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	CU_USD_M	millions of current United States dollars													0	0	2017	0	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
2018.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	CU_USD_M	millions of current United States dollars	1213.020798	632.94529	2395.252847	337.32462	654.332429										2009	654.332429	UNISDR (2018). Sendai Framework Monitor : United Nations Office for Disaster Risk Reduction	C
