"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2000","Footnotes_2001","Footnotes_2002","Footnotes_2003","Footnotes_2004","Footnotes_2005","Footnotes_2006","Footnotes_2007","Footnotes_2008","Footnotes_2009","Footnotes_2010","Footnotes_2011","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Nature_Code_2000","Nature_Code_2001","Nature_Code_2002","Nature_Code_2003","Nature_Code_2004","Nature_Code_2005","Nature_Code_2006","Nature_Code_2007","Nature_Code_2008","Nature_Code_2009","Nature_Code_2010","Nature_Code_2011","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Source_2000","Source_2001","Source_2002","Source_2003","Source_2004","Source_2005","Source_2006","Source_2007","Source_2008","Source_2009","Source_2010","Source_2011","Source_2012","Source_2013","Source_2014","Source_2015","TimeDetail_2000","TimeDetail_2001","TimeDetail_2002","TimeDetail_2003","TimeDetail_2004","TimeDetail_2005","TimeDetail_2006","TimeDetail_2007","TimeDetail_2008","TimeDetail_2009","TimeDetail_2010","TimeDetail_2011","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","Value_2000","Value_2001","Value_2002","Value_2003","Value_2004","Value_2005","Value_2006","Value_2007","Value_2008","Value_2009","Value_2010","Value_2011","Value_2012","Value_2013","Value_2014","Value_2015","Latest_Year","Latest_Value"
"BGR","25.23763153","42.75731323","100","Bulgaria","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","30.38849","30.52695","32.51318","29.67758","25.40797","26.95218","27.46286","27.32919","29.25787","27.85677","24.69932","24.77418","29.29282","32.05993","31.41895","29.97093",2015.0,"29.97093"
"MMR","96.51752295","21.19332882","104","Myanmar","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","12.41268","12.41268","12.41268","12.41268","12.41268","12.41268","12.41268","12.41268","12.41268","9.28765","11.65337","10.98549","11.21455","7.61526","6.63349","6.63349",2015.0,"6.63349"
"BDI","29.89080992","-3.366387428","108","Burundi","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","2.41099","2.61417","2.61025","2.93194","3.18641","3.37842","3.37842","3.6647","2.15376","3.30006","3.08204","2.04759","2.20834","2.7892","2.57019","2.57019",2015.0,"2.57019"
"BLR","28.04940161","53.54193075","112","Belarus","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","41.99781","41.99781","41.99781","41.99781","41.99781","41.99781","41.99781","41.99781","41.99781","36.83868","39.98164","47.13237","43.25612","36.45218","37.98758","37.98758",2015.0,"37.98758"
"KHM","104.922836","12.71163737","116","Cambodia","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953","0.25953",2015.0,"0.25953"
"DZA","2.678164227","28.15940032","12","Algeria","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","11.27833","11.27833","14.36849","14.36849","14.36849","14.36849","14.36849","14.36849","15.15203","10.84891","9.66153","9.96336","10.14455","9.14079","9.14079","9.14079",2015.0,"9.14079"
"CMR","12.7419827","5.692387031","120","Cameroon","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","1.81903","3.32914","11.0089","10.54286","10.54286","10.54286","7.90233","7.90233","7.61196","7.61196","7.61196","7.61196","7.61196","7.61196","7.61196","7.61196",2015.0,"7.61196"
"CAN","-101.6575058","57.72360191","124","Canada","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","43.99976","42.00709","41.59413","40.94257","36.66419","37.57666","37.83853","38.81377","37.87126","31.22457","30.39958","30.12231","30.61386","30.573","30.573","30.573",2015.0,"30.573"
"CPV","-23.63544151","15.07791834","132","Cabo Verde","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","30.6","30.6","30.6","30.6","30.6","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1","27.1",2015.0,"27.1"
"CAF","20.93559492","7.003720791","140","Central African Republic","9","Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation","9.b","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities","9.b.1","Proportion of medium and high-tech industry value added in total value added","1","NV_IND_TECH","Proportion of medium and high-tech industry value added in total value added (%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","","","","","","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","M","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","UNIDO CIP 2016 Database. Available at https://stat.unido.org.","","","","","","","","","","","","","","","","","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599","9.24599",2015.0,"9.24599"
