series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	20	1.576257417	42.54548611	AND	Andorra	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	24	17.57817062	-12.33724746	AGO	Angola	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	36	134.3499412	-25.57717202	AUS	Australia	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	40	14.14172472	47.58704857	AUT	Austria	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	51	44.93839317	40.29499741	ARM	Armenia	1	NUMBER	Number	2017	127	Float		Sendai Framework Monitoring System as provided by designated national focal points (2018)	C
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	52	-59.5346489	13.13648273	BRB	Barbados	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	56	4.660976456	50.64104975	BEL	Belgium	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	60	-64.78155012	32.27881922	BMU	Bermuda	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	64	90.45098484	27.39598568	BTN	Bhutan	1	NUMBER	Number	2017	1	Float		Sendai Framework Monitoring System as provided by designated national focal points (2018)	C
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	72	23.81380223	-22.18810073	BWA	Botswana	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	76	-53.08432878	-10.77668561	BRA	Brazil	1	NUMBER	Number	2017					
2018.Q2.G.01	SG_DSR_SILN	Number of local governments that adopt and implement local DRR strategies in line with national strategies (number)	84	-88.70199554	17.19965901	BLZ	Belize	1	NUMBER	Number	2017					
