"ISO3CD","X","Y","GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Units_Code","Units_Desc","Footnotes_2012","Footnotes_2013","Footnotes_2014","Footnotes_2015","Footnotes_2016","Footnotes_2017","Nature_Code_2012","Nature_Code_2013","Nature_Code_2014","Nature_Code_2015","Nature_Code_2016","Nature_Code_2017","Source_2012","Source_2013","Source_2014","Source_2015","Source_2016","Source_2017","TimeDetail_2012","TimeDetail_2013","TimeDetail_2014","TimeDetail_2015","TimeDetail_2016","TimeDetail_2017","Value_2012","Value_2013","Value_2014","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value"
"EST","25.84093481","58.68487172","233","Estonia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","100.00","","","","",2013.0,"100.00"
"FJI","177.9660884","-17.83301566","242","Fiji","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","100.00","",2016.0,"100.00"
"FIN","23.308447","61.91586738","246","Finland","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","80.82","","","","","",2012.0,"80.82"
"JPN","139.2716103","36.6554539","392","Japan","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","75.00","","",2015.0,"75.00"
"AUT","14.14172472","47.58704857","40","Austria","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","91.94","","",2015.0,"91.94"
"LVA","26.42461876","56.64196636","428","Latvia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","52.90","",2016.0,"52.90"
"MYS","116.8346314","5.452415309","458","Malaysia","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","3.36","",2016.0,"3.36"
"MAR","-6.281942841","31.8440131","504","Morocco","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","85.94",2017.0,"85.94"
"NLD","5.331480568","51.86728884","528","Netherlands","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","53.22","","","",2014.0,"53.22"
"MHL","171.0839119","7.110213497","584","Marshall Islands","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQLOPW","Nationally derived quality of open water bodies
(%)","2019.Q1.G.01","G","Global","PERCENT","Percentage","","","","","","","","","","","","C","","","","","","Environment Live","","","","","","","","","","","","100.00",2017.0,"100.00"
