series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Mode of transportation	Units	Mode of transportation description	Units description	years	value	valueType	time_detail	source	Nature
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	4	66.02688198	33.83160199	AFG	Afghanistan	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	275	35.25694122	31.94347933	PSE	State of Palestine	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	148	18.66618401	15.36279341	TCD	Chad	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	8	20.06660928	41.13897007	ALB	Albania	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	276	10.3806066	51.08862743	DEU	Germany	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	152	-71.23029019	-35.2652885	CHL	Chile	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	10	21.47585697	-80.40897662	ATA	Antarctica	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	288	-1.205623522	7.964825185	GHA	Ghana	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	156	104.1403375	32.30955217	CHN	China	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	2.678164227	28.15940032	DZA	Algeria	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	296	-157.5643005	1.768837732	KIR	Kiribati	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	20	1.576257417	42.54548611	AND	Andorra	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	300	22.58307827	39.47301873	GRC	Greece	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	170	-73.07446751	3.888209046	COL	Colombia	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	24	17.57817062	-12.33724746	AGO	Angola	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	304	-41.39371316	74.75625681	GRL	Greenland	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	174	43.34234565	-11.66121732	COM	Comoros	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	308	-61.68248568	12.11238395	GRD	Grenada	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	175	45.14015057	-12.82217691	MYT	Mayotte	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	178	15.22052612	-0.840544119	COG	Congo	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	32	-65.14563274	-35.19446255	ARG	Argentina	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	316	144.7029305	13.35485404	GUM	Guam	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	36	134.3499412	-25.57717202	AUS	Australia	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	320	-91.2312746	15.00273719	GTM	Guatemala	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	40	14.14172472	47.58704857	AUT	Austria	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	324	-11.28173419	11.00210343	GIN	Guinea	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	44	-78.05111663	24.69546597	BHS	Bahamas	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	328	-58.97322037	4.788012784	GUY	Guyana	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	191	17.95874553	45.45172212	HRV	Croatia	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	48	50.5490754	26.04407747	BHR	Bahrain	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	332	-72.33640958	18.40426539	HTI	Haiti	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	192	-79.54460144	22.10030366	CUB	Cuba	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	50	89.17660788	22.86961622	BGD	Bangladesh	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	334	73.52633626	-53.09106147	HMD	Heard Island and McDonald Islands	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	196	33.22285964	35.05659437	CYP	Cyprus	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	51	44.93839317	40.29499741	ARM	Armenia	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	336	12.45315803	41.90343751	VAT	Holy See	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	203	15.33151382	49.73913871	CZE	Czechia	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	52	-59.5346489	13.13648273	BRB	Barbados	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	340	-86.59974381	14.82243161	HND	Honduras	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	204	2.339933594	9.65401646	BEN	Benin	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	56	4.660976456	50.64104975	BEL	Belgium	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	344	114.0266445	22.41749934	HKG	China, Hong Kong Special Administrative Region	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	208	9.326571283	56.03829721	DNK	Denmark	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	60	-64.78155012	32.27881922	BMU	Bermuda	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	348	19.41221519	47.1651448	HUN	Hungary	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	212	-61.3493756	15.43391378	DMA	Dominica	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	64	90.45098484	27.39598568	BTN	Bhutan	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	352	-19.02116966	64.79134763	ISL	Iceland	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	356	79.3608464	22.34642074	IND	India	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	360	113.9174	-0.994582204	IDN	Indonesia	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	222	-88.86862995	13.73603564	SLV	El Salvador	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	72	23.81380223	-22.18810073	BWA	Botswana	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	364	54.19766348	32.74370885	IRN	Iran (Islamic Republic of)	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	368	43.76606267	33.05013795	IRQ	Iraq	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	231	39.63505296	8.631223181	ETH	Ethiopia	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	76	-53.08432878	-10.77668561	BRA	Brazil	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	372	-7.121425272	53.25274054	IRL	Ireland	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	232	38.11074289	16.12894644	ERI	Eritrea	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	84	-88.70199554	17.19965901	BLZ	Belize	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	376	34.62277992	31.06164552	ISR	Israel	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	233	25.84093481	58.68487172	EST	Estonia	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	380	12.57022427	42.79917282	ITA	Italy	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	AIR	T_KM	air transport	Tonne kilometres	2016					
2018.Q2.G.01	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	AIR	T_KM	air transport	Tonne kilometres	2016		Float		International Civil Aviation Organization (ICAO)	
