"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2000.0","Value_2005.0","Value_2010.0","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","441765.123","437625.574","435168.928","434675.281",2015.0,"434675.281","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"2","Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","106921.542","104569.526","102427.55","100598.664",2015.0,"100598.664","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"5","South America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","164848.153","161507.572","159371.31","159772.429",2015.0,"159772.429","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"9","Oceania","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","12678.989","12713.4","12749.3","12780.723",2015.0,"12780.723","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"11","Western Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","12234.53","11615.57","11053.93","10500.14",2015.0,"10500.14","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"13","Central America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","7113","6896.6","6694.3","6536.8",2015.0,"6536.8","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"14","Eastern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","23710.47","23089.88","22404.44","21836.04",2015.0,"21836.04","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"15","Northern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","4291.642","3970.876","3901.5","3801.184",2015.0,"3801.184","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"17","Middle Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","63992.6","63230.1","62434.8","61859.3",2015.0,"61859.3","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
"18","Southern Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.2","By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally","15.2.1","Progress towards sustainable forest management","1","AG_LND_FRSTBIOM","Above-ground biomass in forest (tonnes)","2019.Q1.G.01","TONNES_M","Millions of tonnes","G","Global","2692.3","2663.1","2632.88","2602",2015.0,"2602","Data nature not available","FAO, Global Forest Resources Assessment","Aggregate. Only countries with data for all years included"
