series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	CU_USD	USD	2069400	6544508	24088011.32	3269912.99	1337307.95	18008549.57	16256604.75	65668331.52	3021751.93	55747.79	20602197.112	2015	55747.79	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	CU_USD	USD	2956560.92	1404179.89	1822981.4	181026.5	12556567.16	9164270.86	2932934.69	886.4	3173467	14484990	5951309.79	2015	14484990	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	CU_USD	USD	206951.16	262531	57770	6390944.9		100416.64	180764.44		3150	151407.561	108934.66025	2015	151407.561	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	CU_USD	USD	195924.65	692205.23	2527381.56	453520	277482.62	302477.79	168117.02	46743			172445.936666667	2013	46743	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	CU_USD	USD	140534.87	584421.42	4536892	1136647	59948.13	309689.81	185645.43	272261	61458.82	3769583.16278	919727.644556	2015	3769583.16278	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	CU_USD	USD	348900.6	164324	68671.86	82536.78	19152.32	205840.46	71737.39	414209.55			230595.8	2013	414209.55	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	CU_USD	USD															
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	CU_USD	USD	1245957.7	5053524.95	8725375.63	545343.99	29004452.34	1317721.95	1353886.71	53598030.25	530980	4020075.49	12164138.88	2015	4020075.49	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	51	44.93839317	40.29499741	ARM	Armenia	1	CU_USD	USD	56731.65	209160.04	6060	39260	1944280.06	582932.78	104132.13	880299.5	3745951	3384659.85025	1739595.05205	2015	3384659.85025	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	52	-59.5346489	13.13648273	BRB	Barbados	1	CU_USD	USD			6072118.85									2008	6072118.85	2017 Partner Report on Support to Statistics (PRESS), the Partnership in Statistics for Development in the 21st Century (PARIS21)	G
2018.Q2.G.01	SG_STT_CAPTY	Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars)	56	4.660976456	50.64104975	BEL	Belgium	1	CU_USD	USD															
