"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Freq_Code","Freq_Desc","ReportingType_Code","ReportingType_Desc","Value_1983.0","Value_1985.0","Value_1987.0","Value_1989.0","Value_1990.0","Value_1992.0","Value_1995.0","Value_1997.0","Value_2000.0","Value_2004.0","Value_2006.0","Value_2008.0","Value_2009.0","Value_2011.0","Value_2013.0","Latest_Year","Latest_Value","Nature_Desc"
"61","Polynesia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"62","Central and Southern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"97","European Union","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"127","Southern Asia (excluding India)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"135","Caucasus and Central Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"142","Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"143","Central Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"145","Western Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"150","Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"151","Eastern Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"154","Northern Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"155","Western Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"158","Other non-specified areas","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"199","Least Developed Countries (LDCs)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"202","Sub-Saharan Africa","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"223","Eastern Asia (excluding Japan and China)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"369"," Iraq (Central Iraq) ","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"419","Latin America and the Caribbean","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"420","Latin America","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"432","Landlocked developing countries (LLDCs)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"485","Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"513","Europe and Northern America","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"514","Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"515","Developing regions","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"518","Eastern Asia (excluding Japan)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"535","Bonaire, Sint Eustatius and Saba","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"543","Oceania (exc. Australia and New Zealand)","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
