"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Freq_Code","Freq_Desc","ReportingType_Code","ReportingType_Desc","Value_1983.0","Value_1985.0","Value_1987.0","Value_1989.0","Value_1990.0","Value_1992.0","Value_1995.0","Value_1997.0","Value_2000.0","Value_2004.0","Value_2006.0","Value_2008.0","Value_2009.0","Value_2011.0","Value_2013.0","Latest_Year","Latest_Value","Nature_Desc"
"19","Americas","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"21","Northern America","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"29","Caribbean","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"30","Eastern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"34","Southern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"35","South-Eastern Asia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"39","Southern Europe","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"53","Australia and New Zealand","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"54","Melanesia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
"57","Micronesia","14","Conserve and sustainably use the oceans, seas and marine resources for sustainable development","14.4","By 2020, effectively regulate harvesting and end overfishing, illegal, unreported and unregulated fishing and destructive fishing practices and implement science-based management plans, in order to restore fish stocks in the shortest time feasible, at least to levels that can produce maximum sustainable yield as determined by their biological characteristics","14.4.1","Proportion of fish stocks within biologically sustainable levels","1","ER_H2O_FISHOVEXP","Proportion of fish stocks that are overexploited (%)","2019.Q1.G.01","PERCENT","Percentage","ANNUAL","Global","G","Global","","","","","","","","","","","","","","","","","",""
