ISO3CD,X,Y,GeoArea_Code,GeoArea_Desc,GoalCode,GoalDesc,TargetCode,TargetDesc,IndicatorCode,IndicatorDesc,IndicatorTier,SeriesCode,SeriesDesc,SeriesRelease,TypeOfSpeed_Code,TypeOfSpeed_Desc,ReportingType_Code,ReportingType_Desc,Units_Code,Units_Desc,Footnotes_2000,Footnotes_2001,Footnotes_2002,Footnotes_2003,Footnotes_2004,Footnotes_2005,Footnotes_2006,Footnotes_2007,Footnotes_2008,Footnotes_2009,Footnotes_2010,Footnotes_2011,Footnotes_2012,Footnotes_2013,Footnotes_2014,Footnotes_2015,Footnotes_2016,Nature_Code_2000,Nature_Code_2001,Nature_Code_2002,Nature_Code_2003,Nature_Code_2004,Nature_Code_2005,Nature_Code_2006,Nature_Code_2007,Nature_Code_2008,Nature_Code_2009,Nature_Code_2010,Nature_Code_2011,Nature_Code_2012,Nature_Code_2013,Nature_Code_2014,Nature_Code_2015,Nature_Code_2016,Source_2000,Source_2001,Source_2002,Source_2003,Source_2004,Source_2005,Source_2006,Source_2007,Source_2008,Source_2009,Source_2010,Source_2011,Source_2012,Source_2013,Source_2014,Source_2015,Source_2016,TimeDetail_2000,TimeDetail_2001,TimeDetail_2002,TimeDetail_2003,TimeDetail_2004,TimeDetail_2005,TimeDetail_2006,TimeDetail_2007,TimeDetail_2008,TimeDetail_2009,TimeDetail_2010,TimeDetail_2011,TimeDetail_2012,TimeDetail_2013,TimeDetail_2014,TimeDetail_2015,TimeDetail_2016,Value_2000,Value_2001,Value_2002,Value_2003,Value_2004,Value_2005,Value_2006,Value_2007,Value_2008,Value_2009,Value_2010,Value_2011,Value_2012,Value_2013,Value_2014,Value_2015,Value_2016,Latest_Year,Latest_Value
BLR,28.04940161,53.54193075,112,Belarus,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,10MBPS,10 mbps and over,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83215,121299,115524,243112,515002,953134,2016.0,953134
BLR,28.04940161,53.54193075,112,Belarus,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,256KT2MBPS,Between 256 kbps and 2 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125883,1427277,1439003,684625,281219,184020,2016.0,184020
BLR,28.04940161,53.54193075,112,Belarus,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,2MT10MBPS,Between 2 mbps and 10 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794578,917355,1172162,1659756,2107276,1930375,2016.0,1930375
BLR,28.04940161,53.54193075,112,Belarus,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,ANYS,Any speed,G,Global,NUMBER,Number,,,,,,,,,Incl. fixed wireless broadband.,Incl. fixed wireless broadband.,Incl. fixed wireless broadband.,Incl. fixed wireless broadband.,Incl. fixed wireless broadband.,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Beltelecom.,Ministry of Communications and Informatization.,Ministry of Communications and Informatization.,Ministry of Communications and Informatization.,Ministry of Communications and Informatization.,ITU estimate based on Beltelecom data.,Ministry of Communications and Informatization.,Ministry of Communications and Informatization.,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,Ministry of Communications and Informatization,NA,Ministry of Communications and Informatization,,,,,,,,,,,,,,,,,,,,20,123,750,1564,11419,169806,477980,1092290,1666631,2098068,2531842,2785842,2684347,2903497,3067529,2016.0,3067529
DZA,2.678164227,28.15940032,12,Algeria,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,10MBPS,10 mbps and over,G,Global,NUMBER,Number,,,,,,,,,,,,,,,Refers only to ADSL subscriptions.,Refers only to ADSL subscriptions.,Source : Algérie télécom,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,Ministère de la Poste et des Technologies de l'Information et de la Communication,Ministère de la  Poste et des Technologies de l'Information et de la Communication,"Ministère de la Poste, des Télécommunications, des Technologies et du Numérique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,531,776770,2016.0,776770
DZA,2.678164227,28.15940032,12,Algeria,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,256KT2MBPS,Between 256 kbps and 2 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,Refers only to ADSL subscriptions.,Refers only to ADSL subscriptions.,Source : Algérie télécom,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,Ministère de la Poste et des Technologies de l'Information et de la Communication,Ministère de la  Poste et des Technologies de l'Information et de la Communication,"Ministère de la Poste, des Télécommunications, des Technologies et du Numérique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973977,1073883,1104493,2016.0,1104493
DZA,2.678164227,28.15940032,12,Algeria,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,2MT10MBPS,Between 2 mbps and 10 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,Refers only to ADSL subscriptions.,Refers only to ADSL subscriptions.,Source : Algérie télécom,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,Ministère de la Poste et des Technologies de l'Information et de la Communication,Ministère de la  Poste et des Technologies de l'Information et de la Communication,"Ministère de la Poste, des Télécommunications, des Technologies et du Numérique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542044,763014,978289,2016.0,978289
DZA,2.678164227,28.15940032,12,Algeria,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,ANYS,Any speed,G,Global,NUMBER,Number,,,,,,,,,,,,,,A few subscriptions between 128 and 256 kbps are still included.,A few subscriptions between 128 and 256 kbps are still included.,A few subscriptions between 128 and 256 kbps are still included.,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,ITU estimate.,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,Autorité de Régulation de la Poste et des Télecommunications (ARPT).,ITU estimate.,ITU estimate.,Autorité de Régulation de la Poste et des Télécommunications,Ministère de la Poste et des Technologies de l'Information et de la Communication,NA,NA,Ministère de la Poste et des Technologies de l'Information et de la Communication,Ministère de la  Poste et des Technologies de l'Information et de la Communication,"Ministère de la Poste, des Télécommunications, des Technologies et du Numérique",,,,,,,,,,,,,,,,,,,,,18000,36000,135000,170000,287039,485000,818000,900000,980752,1154748,1280000,1599692,2269348,2859567,2016.0,2859567
AND,1.576257417,42.54548611,20,Andorra,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,10MBPS,10 mbps and over,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,Andorra Telecom,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Andorra Telecom SAU,Andorra Telecom SAU,Andorra Telecom SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,5039,11238,17426,21667,25543,28622,30694,32490,2016.0,32490
AND,1.576257417,42.54548611,20,Andorra,17,Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development,17.6,"Enhance North-South, South-South and triangular regional and international cooperation on and access to science, technology and innovation and enhance knowledge-sharing on mutually agreed terms, including through improved coordination among existing mechanisms, in particular at the United Nations level, and through a global technology facilitation mechanism",17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",1,IT_NET_BBN,"Number of fixed Internet broadband subscriptions, by speed (number)",2019.Q1.G.01,256KT2MBPS,Between 256 kbps and 2 mbps,G,Global,NUMBER,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,,,,,,,,,,Andorra Telecom,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Servei de Telecomunicacions d'Andorra,Andorra Telecom SAU,,Andorra Telecom SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,13608,10565,6599,4203,1179,116,,0,2016.0,0
