series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of speed	Units description	Type of speed description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	NUMBER	ANYS	Number	any speed					200	220	500	500	500	1000	1500		1500	1500	1500	169523	8801	36564.8	2016	8801	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	4	66.02688198	33.83160199	AFG	Afghanistan	2	NUMBER	10MBPS	Number	10 mbps and over																350	500	425	2016	500	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	4	66.02688198	33.83160199	AFG	Afghanistan	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps																51962	8170	30066	2016	8170	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	4	66.02688198	33.83160199	AFG	Afghanistan	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps																500	131	315.5	2016	131	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	8	20.06660928	41.13897007	ALB	Albania	1	NUMBER	ANYS	Number	any speed						272		10000	64000	92000	105539	128210	160088	182556	207931	242870	266379	211964.8	2016	266379	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	8	20.06660928	41.13897007	ALB	Albania	2	NUMBER	10MBPS	Number	10 mbps and over													14908	16478	14075	14777	44539	20955.4	2016	44539	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	8	20.06660928	41.13897007	ALB	Albania	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps													34658	34026	18736	12645	18614	23735.8	2016	18614	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	8	20.06660928	41.13897007	ALB	Albania	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps													110522	132052	175153	215443	203226	167279.2	2016	203226	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	NUMBER	ANYS	Number	any speed																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	10	21.47585697	-80.40897662	ATA	Antarctica	2	NUMBER	10MBPS	Number	10 mbps and over																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	10	21.47585697	-80.40897662	ATA	Antarctica	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	10	21.47585697	-80.40897662	ATA	Antarctica	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps																						
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	2.678164227	28.15940032	DZA	Algeria	1	NUMBER	ANYS	Number	any speed				18000	36000	135000	170000	287039	485000	818000	9e+05	980752	1154748	1280000	1599692	2269348	2859567	1832671	2016	2859567	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	2.678164227	28.15940032	DZA	Algeria	2	NUMBER	10MBPS	Number	10 mbps and over															198	531	776770	259166.333333333	2016	776770	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	2.678164227	28.15940032	DZA	Algeria	3	NUMBER	256KT2MBPS	Number	between 256 kbps and 2 mbps															973977	1073883	1104493	1050784.33333333	2016	1104493	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	12	2.678164227	28.15940032	DZA	Algeria	4	NUMBER	2MT10MBPS	Number	between 2 mbps and 10 mbps															542044	763014	978289	761115.666666667	2016	978289	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
