"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2015.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"19","Americas","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","48.95833",2015.0,"48.95833","Country data","Environment Live"
"21","Northern America","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","",""
"29","Caribbean","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","33.33333",2015.0,"33.33333","Country data","Environment Live"
"30","Eastern Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","53.33333",2015.0,"53.33333","Country data","Environment Live"
"34","Southern Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","47.91667",2015.0,"47.91667","Country data","Environment Live"
"35","South-Eastern Asia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","",""
"39","Southern Europe","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","","","","",""
"53","Australia and New Zealand","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","83.33333",2015.0,"83.33333","Country data","Environment Live"
"54","Melanesia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","29.16667",2015.0,"29.16667","Country data","Environment Live"
"57","Micronesia","12","Ensure sustainable consumption and production patterns","12.4","By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment","12.4.1","Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement","1","SG_HAZ_CMRSTHOLM","Compliance with the Stockholm Convention on hazardous waste and other chemicals","2019.Q1.G.01","PERCENT","Percentage","G","Global","26.66667",2015.0,"26.66667","Country data","Environment Live"
