"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"1","World","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","5768.59584","5940.7892","2535.06582","2835.59623","3330.77871","5378.59094","5332.11398","5559.33176","6299.30884","6299.05978","7197.91716","7425.42963","7255.31602","7420.42797","8264.31409","8726.35457","8957.89519",2016.0,"8957.89519","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)",""
"2","Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","1357.8571","1674.79167","886.6313","980.30884","1317.79539","1519.88191","1630.80111","1788.47798","2058.11103","2230.8667","2433.33497","2620.23415","2805.23989","2869.93375","3051.61065","3222.86774","3400.60471",2016.0,"3400.60471","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"5","South America","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","518.36752","72.30111","77.73085","95.73152","100.49772","145.00041","170.18411","310.92686","411.79292","379.3961","349.19211","620.89429","506.33763","325.29542","328.54613","301.25579","414.62706",2016.0,"414.62706","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"9","Oceania","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","26.09867","49.65137","18.36024","7.64504","10.44579","10.34412","12.55807","13.37209","25.5491","18.20094","37.6373","50.26918","37.35337","43.28481","49.03992","64.94783","87.92184",2016.0,"87.92184","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"11","Western Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","429.536","751.93508","258.97665","303.87045","432.91956","439.21462","458.24376","576.51185","715.12407","661.4649","763.89094","758.7692","777.94825","778.13792","913.95275","922.26022","1115.85086",2016.0,"1115.85086","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"13","Central America","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","398.26501","243.60248","70.47348","98.00469","109.03173","214.16374","199.30951","135.13379","125.58607","303.12142","335.295","172.81059","102.74764","134.95559","337.88725","141.11803","195.1961",2016.0,"195.1961","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"14","Eastern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","429.54079","346.18962","307.70153","393.96603","387.69002","571.67962","573.74636","769.8846","724.19882","873.31258","885.67813","882.19685","1140.04779","1238.04973","1143.05157","1109.07837","1226.384",2016.0,"1226.384","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"15","Northern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","410.08561","499.99328","242.54622","204.34752","411.08344","390.97231","439.07193","324.10438","421.5124","488.31432","509.84526","564.11348","563.60289","410.70369","615.13594","831.56467","633.80242",2016.0,"633.80242","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"17","Middle Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","72.08644","26.18091","58.74116","53.58733","53.56293","70.17786","68.30702","90.48058","118.59756","120.42464","177.19931","195.83087","229.25138","325.52757","331.52678","327.45378","358.71379",2016.0,"358.71379","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
"18","Southern Africa","6","Ensure availability and sustainable management of water and sanitation for all","6.a","By 2030, expand international cooperation and capacity-building support to developing countries in water- and sanitation-related activities and programmes, including water harvesting, desalination, water efficiency, wastewater treatment, recycling and reuse technologies","6.a.1","Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan","1","DC_TOF_WASHL","Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2016 United States dollars)","2019.Q1.G.01","CON_USD","Constant USD","G","Global","UNIT","Units","16.60827","50.49278","18.66575","24.53751","32.53944","47.83749","91.43204","27.49657","78.67819","87.35026","96.72132","219.32375","94.38957","117.51486","47.94362","32.51069","65.85364",2016.0,"65.85364","Data nature not available","Creditor Reporting System (CRS) database, 2018, The Organisation for Economic Co-operation and Development (OECD)","[2000-2001]: Commitments; Based on OECD, CRS databased, 2018; Constant 2016 USD million // [2002-2016]: Gross disbursements; Based on OECD, CRS databased, 2018; Constant 2016 USD million"
