series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PERCENT	Percentage	2.07	2.07	2.07	2.07	2015	2.07	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	8	20.06660928	41.13897007	ALB	Albania	1	PERCENT	Percentage	28.08	28.55	28.33	28.16	2015	28.16	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PERCENT	Percentage								
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	12	2.678164227	28.15940032	DZA	Algeria	1	PERCENT	Percentage	0.66	0.64	0.81	0.82	2015	0.82	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PERCENT	Percentage	90.25	89.41	88.56	87.72	2015	87.72	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	20	1.576257417	42.54548611	AND	Andorra	1	PERCENT	Percentage	34.04	34.04	34.04	34.04	2015	34.04	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	24	17.57817062	-12.33724746	AGO	Angola	1	PERCENT	Percentage	47.91	47.41	46.91	46.41	2015	46.41	Official country data submitted to FAO	C
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	PERCENT	Percentage	22.73	22.27	22.27	22.27	2015	22.27	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	PERCENT	Percentage	10.55	10.61	12.2	13.78	2015	13.78	FAO Estimate	E
2018.Q2.G.01	AG_LND_FRST	Forest area as a proportion of total land area (%)	32	-65.14563274	-35.19446255	ARG	Argentina	1	PERCENT	Percentage	11.64	11.03	10.45	9.91	2015	9.91	Official country data submitted to FAO	C
