series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	4	66.02688198	33.83160199	AFG	Afghanistan	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	8	20.06660928	41.13897007	ALB	Albania	1	TONNES_M	millions of tonnes	3.083	3.224	3.75	3.822	4.006	3.824	3.792	3.775	3.708	3.765	3.929	4.141	3.484	3.645	4.122	3.824	3.8432	2015	3.824	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	10	21.47585697	-80.40897662	ATA	Antarctica	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	12	2.678164227	28.15940032	DZA	Algeria	1	TONNES_M	millions of tonnes	61.489	62.997	68.128	71.961	73.354	77.449	80.734	84.853	88.101	94.412	95.506	102.758	112.151	115.621	123.117	130.363	116.802	2015	130.363	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	20	1.576257417	42.54548611	AND	Andorra	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	24	17.57817062	-12.33724746	AGO	Angola	1	TONNES_M	millions of tonnes	4.632	5.031	5.501	7.063	7.404	6.148	8.25	9.645	11.81	13.867	15.128	16.077	15.97	18.084	19.297	20.418	17.9692	2015	20.418	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	TONNES_M	millions of tonnes	27.296	25.826	25.507	27.823	27.396	29.009	29.387	26.688	28.803	24.515	23.526	26.443	28.887	29.454	30.785	30.798	29.2734	2015	30.798	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	32	-65.14563274	-35.19446255	ARG	Argentina	1	TONNES_M	millions of tonnes	139.317	128.824	121.611	130.807	146.533	149.434	158.711	165.567	176.654	168.869	173.719	181.184	185.587	180.795	185.826	191.416	184.9616	2015	191.416	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	36	134.3499412	-25.57717202	AUS	Australia	1	TONNES_M	millions of tonnes	334.701	341.033	349.015	352.856	366.655	371.916	377.357	387.449	389.97	396.025	389.112	387.129	386.543	382.465	373.341	380.929	382.0814	2015	380.929	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	40	14.14172472	47.58704857	AUT	Austria	1	TONNES_M	millions of tonnes	61.871	66.239	67.482	72.51	73.728	74.145	71.729	69.316	69.399	63.609	68.68	66.789	63.905	64.21	60.641	62.142	63.5374	2015	62.142	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	44	-78.05111663	24.69546597	BHS	Bahamas	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	48	50.5490754	26.04407747	BHR	Bahrain	1	TONNES_M	millions of tonnes	15.839	16.349	17.193	17.902	17.784	20.559	22.348	22.86	24.609	24.472	25.544	25.567	26.094	28.285	29.687	30.065	27.9396	2015	30.065	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	50	89.17660788	22.86961622	BGD	Bangladesh	1	TONNES_M	millions of tonnes	20.94	24.836	26.542	27.786	29.733	31.95	35.192	37.299	40.869	44.035	49.855	53.281	57.301	59.693	62.856	70.473	60.7208	2015	70.473	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	51	44.93839317	40.29499741	ARM	Armenia	1	TONNES_M	millions of tonnes	3.421	3.458	2.907	3.274	3.465	4.129	4.15	4.796	5.272	4.268	4.047	4.672	5.437	5.242	5.219	4.697	5.0534	2015	4.697	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
