series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	52	-59.5346489	13.13648273	BRB	Barbados	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	56	4.660976456	50.64104975	BEL	Belgium	1	TONNES_M	millions of tonnes	113.73	114.939	107.553	112.395	111.014	107.342	105.395	101.754	103.661	96.726	103.624	92.755	92.272	93.435	87.312	92.459	91.6466	2015	92.459	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	60	-64.78155012	32.27881922	BMU	Bermuda	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	64	90.45098484	27.39598568	BTN	Bhutan	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	TONNES_M	millions of tonnes	7.104	6.811	7.149	7.823	8.524	9.069	9.871	10.787	11.743	12.397	13.707	14.942	16.729	16.906	18.299	18.273	17.0298	2015	18.273	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	TONNES_M	millions of tonnes	13.721	13.503	14.221	14.55	15.19	15.861	17.466	18.419	20.245	20.207	20.486	23.404	21.647	21.512	21.628	22.242	22.0866	2015	22.242	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	72	23.81380223	-22.18810073	BWA	Botswana	1	TONNES_M	millions of tonnes	4.033	3.865	4.026	3.915	3.97	4.278	4.086	4.319	4.392	4.09	3.271	3.883	4.985	5.399	6.953	7.052	5.6544	2015	7.052	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	76	-53.08432878	-10.77668561	BRA	Brazil	1	TONNES_M	millions of tonnes	292.308	298.873	298.162	292.404	309.771	310.498	314.026	329.645	347.886	324.382	370.532	389.595	422.237	451.325	474.863	450.789	437.7618	2015	450.789	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	84	-88.70199554	17.19965901	BLZ	Belize	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	TONNES_M	millions of tonnes	4.424	4.31	4.36	5.248	4.919	4.822	7.214	6.842	7.221	7.432	6.86	7.011	6.968	6.852	6.695	5.976	6.7004	2015	5.976	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	100	25.23763153	42.75731323	BGR	Bulgaria	1	TONNES_M	millions of tonnes	42.188	45.028	42.485	46.733	45.8	46.497	47.645	50.986	48.528	42.403	44.396	49.209	44.454	39.329	41.611	43.789	43.6784	2015	43.789	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	104	96.51752295	21.19332882	MMR	Myanmar	1	TONNES_M	millions of tonnes	9.28	8.198	8.141	10.257	10.003	10.571	9.819	10.207	7.58	7.03	7.905	8.101	11.444	13.76	20.033	24.379	15.5434	2015	24.379	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	108	29.89080992	-3.366387428	BDI	Burundi	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	112	28.04940161	53.54193075	BLR	Belarus	1	TONNES_M	millions of tonnes	52.112	50.904	50.778	51.368	54.458	55.007	57.231	55.72	58.435	55.913	59.864	56.926	57.779	58.244	57.428	53.195	56.7144	2015	53.195	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	116	104.922836	12.71163737	KHM	Cambodia	1	TONNES_M	millions of tonnes	1.962	2.152	2.21	2.377	2.377	2.638	2.943	3.57	3.649	4.368	4.62	4.844	5.052	5.169	6.096	8.009	5.834	2015	8.009	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	120	12.7419827	5.692387031	CMR	Cameroon	1	TONNES_M	millions of tonnes	2.787	2.706	2.895	2.982	3.013	2.935	3.105	4.117	4.268	4.808	5.049	4.872	4.96	5.025	5.633	6.015	5.301	2015	6.015	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	124	-101.6575058	57.72360191	CAN	Canada	1	TONNES_M	millions of tonnes	516.167	508.487	514.35	534.163	526.087	541.203	533.085	564.049	543.952	514.599	528.448	538.839	539.147	551.984	554.439	549.233	546.7284	2015	549.233	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	140	20.93559492	7.003720791	CAF	Central African Republic	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	TONNES_M	millions of tonnes	10.518	10.399	10.974	11.945	12.309	13.388	11.776	12.933	12.119	11.562	12.405	14.668	16.063	13.737	16.739	19.488	16.139	2015	19.488	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	148	18.66618401	15.36279341	TCD	Chad	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	152	-71.23029019	-35.2652885	CHL	Chile	1	TONNES_M	millions of tonnes	48.61	46.66	47.414	48.603	53.334	54.419	55.662	63.056	66.514	64.195	68.588	75.297	77.217	82.015	75.797	81.647	78.3946	2015	81.647	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	156	104.1403375	32.30955217	CHN	China	1	TONNES_M	millions of tonnes	3086.747	3242.803	3497.453	4052.495	4723.639	5357.715	5911.963	6468.27	6608.137	7025.821	7706.653	8465.642	8620.578	8995.789	9036.467	9040.743	8831.8438	2015	9040.743	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	170	-73.07446751	3.888209046	COL	Colombia	1	TONNES_M	millions of tonnes	54.166	54.632	52.511	51.84	51.972	53.574	53.646	54.756	55.618	59.03	60.211	65.395	65.215	70.869	72.683	72.317	69.2958	2015	72.317	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	174	43.34234565	-11.66121732	COM	Comoros	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	175	45.14015057	-12.82217691	MYT	Mayotte	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	178	15.22052612	-0.840544119	COG	Congo	1	TONNES_M	millions of tonnes	0.497	0.634	0.504	0.752	0.781	0.843	1.022	1.096	1.372	1.569	1.833	2.093	2.228	2.537	2.639	2.703	2.44	2015	2.703	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	TONNES_M	millions of tonnes	0.853	0.713	0.771	0.937	1.013	1.281	1.393	1.543	1.715	1.737	1.869	2.344	2.27	3.475	4.655	2.734	3.0956	2015	2.734	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	TONNES_M	millions of tonnes	4.498	4.911	5.022	5.323	5.311	5.436	5.969	6.674	6.676	6.36	6.613	6.765	6.839	7.23	7.263	6.931	7.0056	2015	6.931	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	191	17.95874553	45.45172212	HRV	Croatia	1	TONNES_M	millions of tonnes	16.778	17.749	18.85	20.176	19.599	19.911	19.971	21.216	20.16	19.06	18.243	17.946	16.415	15.898	15.113	15.509	16.1762	2015	15.509	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	192	-79.54460144	22.10030366	CUB	Cuba	1	TONNES_M	millions of tonnes	27.339	26.461	25.24	24.503	24.223	25.049	25.44	26.31	25.466	29.329	32.682	29.77	30.52	29.422	29.364	29.861	29.7874	2015	29.861	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	196	33.22285964	35.05659437	CYP	Cyprus	1	TONNES_M	millions of tonnes	6.303	6.187	6.341	7.015	6.905	7.046	7.112	7.423	7.577	7.5	7.258	6.998	6.514	5.628	5.775	5.899	6.1628	2015	5.899	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	203	15.33151382	49.73913871	CZE	Czechia	1	TONNES_M	millions of tonnes	121.333	121.187	117.216	121.377	121.903	118.459	118.939	121.673	116.451	109.729	112.562	109.439	105.783	101.529	98.396	99.552	102.9398	2015	99.552	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	204	2.339933594	9.65401646	BEN	Benin	1	TONNES_M	millions of tonnes	1.424	1.735	2.02	2.276	2.434	2.677	3.245	3.785	3.835	4.193	4.572	4.437	4.213	4.448	4.783	5.296	4.6354	2015	5.296	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	208	9.326571283	56.03829721	DNK	Denmark	1	TONNES_M	millions of tonnes	50.754	52.339	52.051	57.448	51.788	48.442	56.366	51.605	48.631	46.897	47.223	42.025	36.833	38.629	34.433	31.977	36.7794	2015	31.977	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	212	-61.3493756	15.43391378	DMA	Dominica	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	TONNES_M	millions of tonnes	18.354	18.305	21.995	18.176	16.877	18.174	19.158	19.454	19.37	18.64	19.62	19.561	20.413	21.244	20.114	21.359	20.5382	2015	21.359	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	TONNES_M	millions of tonnes	18.132	19.285	19.802	19.589	22.207	23.919	25.416	26.087	26.15	28.767	32.046	32.839	34.19	35.871	38.726	37.566	35.8384	2015	37.566	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	222	-88.86862995	13.73603564	SLV	El Salvador	1	TONNES_M	millions of tonnes	5.173	5.51	5.533	5.909	5.929	6.251	6.521	6.921	6.141	6.033	5.824	6.011	6.015	5.729	5.875	6.46	6.018	2015	6.46	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	231	39.63505296	8.631223181	ETH	Ethiopia	1	TONNES_M	millions of tonnes	3.2	4.037	4.209	4.569	4.802	4.49	4.803	5.536	6.265	6.383	5.983	6.884	7.285	8.511	10.129	10.197	8.6012	2015	10.197	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	232	38.11074289	16.12894644	ERI	Eritrea	1	TONNES_M	millions of tonnes	0.615	0.674	0.658	0.667	0.66	0.578	0.502	0.492	0.425	0.447	0.479	0.514	0.546	0.558	0.584	0.609	0.5622	2015	0.609	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	233	25.84093481	58.68487172	EST	Estonia	1	TONNES_M	millions of tonnes	14.511	14.97	14.566	16.564	16.618	16.817	15.53	19.336	17.757	14.758	18.652	17.709	16.437	18.863	18.594	15.533	17.4272	2015	15.533	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	242	177.9660884	-17.83301566	FJI	Fiji	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	246	23.308447	61.91586738	FIN	Finland	1	TONNES_M	millions of tonnes	54.599	60.59	62.957	71.242	67.156	54.92	66.446	64.499	56.04	53.798	61.994	54.564	48.907	49.539	45.456	42.074	48.108	2015	42.074	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	248	19.80945969	60.1544901	ALA	Åland Islands	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	250	2.457288129	46.62660861	FRA	France	1	TONNES_M	millions of tonnes	364.548	368.079	362.396	368.153	368.95	371.76	362.479	354.407	350.107	333.601	340.812	310.242	313.457	316.15	284.04	290.488	302.8754	2015	290.488	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	254	-53.23619089	3.922673437	GUF	French Guiana	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	262	42.18274707	11.56004161	DJI	Djibouti	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	266	11.78727747	-0.60687619	GAB	Gabon	1	TONNES_M	millions of tonnes	1.465	1.477	1.385	1.388	1.431	1.733	1.801	1.938	2.002	2.059	2.649	2.971	3.119	3.317	3.266	3.245	3.1836	2015	3.245	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	268	43.3713615	42.04813028	GEO	Georgia	1	TONNES_M	millions of tonnes	4.632	3.381	2.819	3.019	3.204	4.065	4.525	5.452	4.666	5.291	4.994	5.953	6.609	6.686	7.719	8.382	7.0698	2015	8.382	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	270	-15.39944785	13.45295927	GMB	Gambia	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	275	35.25694122	31.94347933	PSE	State of Palestine	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	276	10.3806066	51.08862743	DEU	Germany	1	TONNES_M	millions of tonnes	812.4	831.574	818.011	820.836	804.777	786.758	799.253	766.824	775.266	720.307	758.873	731.313	744.777	763.862	723.27	729.769	738.5982	2015	729.769	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	288	-1.205623522	7.964825185	GHA	Ghana	1	TONNES_M	millions of tonnes	4.979	5.48	6.689	6.408	5.918	6.397	7.752	8.391	7.762	9.248	10.449	10.815	12.773	13.65	13.165	14.047	12.89	2015	14.047	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	TONNES_M	millions of tonnes	0.34	0.349	0.356	0.362	0.393	0.406	0.424	0.421	0.43	0.471	0.474	0.458	0.468	0.499	0.536	0.574	0.507	2015	0.574	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	296	-157.5643005	1.768837732	KIR	Kiribati	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	300	22.58307827	39.47301873	GRC	Greece	1	TONNES_M	millions of tonnes	87.978	90.097	90.337	93.903	93.538	95.213	94.154	97.956	94.403	90.212	83.419	82.167	77.039	68.892	65.77	64.578	71.6892	2015	64.578	IEA CO2 Emissions from Fuel Combustion Statistics 2017.	E
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	304	-41.39371316	74.75625681	GRL	Greenland	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	308	-61.68248568	12.11238395	GRD	Grenada	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	TONNES_M	millions of tonnes																					
2018.Q2.G.01	EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	316	144.7029305	13.35485404	GUM	Guam	1	TONNES_M	millions of tonnes																					
