"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2017.0","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"19","Americas","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","","","","","",""
"21","Northern America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","69.868307",2017.0,"69.868307","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"29","Caribbean","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","96.31494",2017.0,"96.31494","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"30","Eastern Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","62.67886",2017.0,"62.67886","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"34","Southern Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","68.925218",2017.0,"68.925218","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"35","South-Eastern Asia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","98.2276",2017.0,"98.2276","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"39","Southern Europe","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","93.231642",2017.0,"93.231642","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"53","Australia and New Zealand","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","94.851049",2017.0,"94.851049","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"54","Melanesia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","98.255128",2017.0,"98.255128","Estimated data","Food and Agriculture Organisation of United Nations ( FAO)","Pending validation"
"57","Micronesia","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.4","By 2030, ensure the conservation of mountain ecosystems, including their biodiversity, in order to enhance their capacity to provide benefits that are essential for sustainable development","15.4.2","Mountain Green Cover Index","1","ER_MTN_GRNCVI","Mountain Green Cover Index","2019.Q1.G.01","INDEX","Index","G","Global","","","","","",""
