series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	4	66.02688198	33.83160199	AFG	Afghanistan	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	8	20.06660928	41.13897007	ALB	Albania	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	10	21.47585697	-80.40897662	ATA	Antarctica	1	HA_TH	Thousands of hectares																							
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	12	2.678164227	28.15940032	DZA	Algeria	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	20	1.576257417	42.54548611	AND	Andorra	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	24	17.57817062	-12.33724746	AGO	Angola	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	32	-65.14563274	-35.19446255	ARG	Argentina	1	HA_TH	Thousands of hectares	0	0	33.82	53.01	77.58	77.92	77.92	222.64	207.96	310.58	449.84	525.9	254.68	262.22	276.37	275.44	470.86	490.53	355.084	2017	490.53	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	36	134.3499412	-25.57717202	AUS	Australia	1	HA_TH	Thousands of hectares	0	0	0	0																2003	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	40	14.14172472	47.58704857	AUT	Austria	1	HA_TH	Thousands of hectares	550																			2000	550	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
2018.Q2.G.01	AG_LND_FRSTCERT	Forest area certified under an independently verified certification scheme (thousands of hectares)	44	-78.05111663	24.69546597	BHS	Bahamas	1	HA_TH	Thousands of hectares	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2017	0	Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment	G
