"GeoArea_Code","GeoArea_Desc","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","Bounds_Code","Bounds_Desc","ReportingType_Code","ReportingType_Desc","Value_1993.0","Value_1994.0","Value_1995.0","Value_1996.0","Value_1997.0","Value_1998.0","Value_1999.0","Value_2000.0","Value_2001.0","Value_2002.0","Value_2003.0","Value_2004.0","Value_2005.0","Value_2006.0","Value_2007.0","Value_2008.0","Value_2009.0","Value_2010.0","Value_2011.0","Value_2012.0","Value_2013.0","Value_2014.0","Value_2015.0","Value_2016.0","Value_2017.0","Value_2018.0","Latest_Year","Latest_Value","Nature_Desc","Source"
"1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","LB","Lower bound","G","Global","0.82589","0.82401","0.82236","0.82097","0.81947","0.81758","0.81386","0.80988","0.80584","0.80242","0.79853","0.79502","0.79138","0.78783","0.78392","0.78051","0.77684","0.77337","0.77174","0.77053","0.76911","0.76853","0.76771","0.76717","0.76641","0.76565",2018.0,"0.76565","Estimated data","BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region."
"1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","MP","Mid-point","G","Global","0.82102","0.82004","0.81884","0.81682","0.81415","0.81127","0.80725","0.80322","0.79939","0.79568","0.792","0.78877","0.78487","0.78136","0.77704","0.77429","0.77091","0.76799","0.76377","0.76044","0.75567","0.75299","0.74799","0.74447","0.74017","0.73717",2018.0,"0.73717","Estimated data","BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region."
"1","World","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","UB","Upper bound","G","Global","0.81697","0.81625","0.81429","0.81114","0.80764","0.80384","0.80036","0.79686","0.79317","0.78941","0.78593","0.78215","0.77871","0.77499","0.77027","0.76609","0.75969","0.75462","0.75043","0.74383","0.73702","0.72781","0.72646","0.71931","0.71523","0.70569",2018.0,"0.70569","Estimated data","BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region."
"2","Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Africa","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","LB","Lower bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","MP","Mid-point","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","South America","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","UB","Upper bound","G","Global","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","Oceania","15","Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss","15.5","Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species","15.5.1","Red List Index","1","ER_RSK_LSTI","Red List Index","2019.Q1.G.01","INDEX","Index","UB","Upper bound","G","Global","0.88403","0.88278","0.88161","0.8799","0.87844","0.87663","0.87276","0.86937","0.86585","0.86264","0.85905","0.85587","0.85215","0.84883","0.84544","0.84206","0.83896","0.83629","0.83495","0.8336","0.8329","0.83159","0.83091","0.83001","0.82954","0.82903",2018.0,"0.82903","Estimated data","BirdLife International and IUCN (2018), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region."
