"GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","ReportingType_Code","ReportingType_Desc","Nature_Code","Nature_Desc","Unitmultiplier_Code","Unitmultiplier_Desc","Units_Code","Units_Desc","GeoArea_Code","GeoArea_Desc","Year","TimeDetail","Value","ValueType","Source","Footnotes","ISO3CD","X","Y"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","20","Andorra",2016.0,"","11.800","Float","Environment Live","","AND","1.576257417","42.54548611"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","40","Austria",2015.0,"","78384.000","Float","Environment Live","","AUT","14.14172472","47.58704857"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","233","Estonia",2013.0,"","3962.273","Float","Environment Live","","EST","25.84093481","58.68487172"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","242","Fiji",2016.0,"","83468314.810","Float","Environment Live","","FJI","177.9660884","-17.83301566"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","392","Japan",2015.0,"","2140000000000.000","Float","Environment Live","","JPN","139.2716103","36.6554539"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","428","Latvia",2016.0,"","24509.000","Float","Environment Live","","LVA","26.42461876","56.64196636"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","458","Malaysia",2010.0,"","1.45E+13","Float","Environment Live","","MYS","116.8346314","5.452415309"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","584","Marshall Islands",2017.0,"","0.000","Float","Environment Live","","MHL","171.0839119","7.110213497"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","504","Morocco",2017.0,"","18340.000","Float","Environment Live","","MAR","-6.281942841","31.8440131"
"6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDQTRVR","Nationally derived quantity of rivers (million of cubic metres per annum)","2019.Q1.G.01","G","Global","C","Country data","UNIT","Units","M_M3_PER_YR","Million of cubic metres per annum","616","Poland",2015.0,"","1670000000000.000","Float","Environment Live","","POL","19.40660158","52.1226733"
