series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Type of speed	Units description	Type of speed description	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	4	66.02688198	33.83160199	AFG	Afghanistan	1	PER_100_POP	ANYS	Per 100 population	any speed					0.000832685157328783	0.000884925317331202	0.00195074128559001	0.00189758772196985	0.00184964618303129	0.00360904161647242	0.00528209708550786		0.00502941604858496	0.00490971460352713	0.00479531700849711	0.529647023625114	0.0254	0.113956294257145	2016	0.0254	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	4	66.02688198	33.83160199	AFG	Afghanistan	2	PER_100_POP	10MBPS	Per 100 population	10 mbps and over																0.0010935180374863	0.00144	0.00126675901874315	2016	0.00144	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	4	66.02688198	33.83160199	AFG	Afghanistan	3	PER_100_POP	2MT10MBPS	Per 100 population	between 2 mbps and 10 mbps																0.0015621686249804	0.00038	0.0009710843124902	2016	0.00038	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	4	66.02688198	33.83160199	AFG	Afghanistan	4	PER_100_POP	256KT2MBPS	Per 100 population	between 256 kbps and 2 mbps																0.162346812182466	0.02357	0.092958406091233	2016	0.02357	Afghanistan Telecommunication Regulatory Authority Ministry of Communications & Information Technology (MCIT)	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	8	20.06660928	41.13897007	ALB	Albania	1	PER_100_POP	ANYS	Per 100 population	any speed						0.00851029213455022		0.315833823402149	2.02749280240055	2.91953661876405	3.35029235180752	4.06514762912892	5.06273870736473	5.75292812999583	6.52759940390775	7.596854657566	9.10278	6.80858017976686	2016	9.10278	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	8	20.06660928	41.13897007	ALB	Albania	2	PER_100_POP	10MBPS	Per 100 population	10 mbps and over													0.471461375302293	0.519274905925148	0.441857931765834	0.462217323155815	1.522	0.683362307229818	2016	1.522	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	8	20.06660928	41.13897007	ALB	Albania	3	PER_100_POP	2MT10MBPS	Per 100 population	between 2 mbps and 10 mbps													3.49522767112691	4.16138426248499	5.49859625737699	6.73895152958369	6.9447	5.36777194411452	2016	6.9447	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	8	20.06660928	41.13897007	ALB	Albania	4	PER_100_POP	256KT2MBPS	Per 100 population	between 256 kbps and 2 mbps													1.09604966093553	1.0722689615857	0.588181187180438	0.395529407275176	0.63608	0.757621843395368	2016	0.63608	Minister of State for the Innovation and Public Administration	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	10	21.47585697	-80.40897662	ATA	Antarctica	1	PER_100_POP	ANYS	Per 100 population	any speed																						
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	10	21.47585697	-80.40897662	ATA	Antarctica	2	PER_100_POP	10MBPS	Per 100 population	10 mbps and over																						
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	10	21.47585697	-80.40897662	ATA	Antarctica	3	PER_100_POP	2MT10MBPS	Per 100 population	between 2 mbps and 10 mbps																						
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	10	21.47585697	-80.40897662	ATA	Antarctica	4	PER_100_POP	256KT2MBPS	Per 100 population	between 256 kbps and 2 mbps																						
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	12	2.678164227	28.15940032	DZA	Algeria	1	PER_100_POP	ANYS	Per 100 population	any speed				0.054539765882601	0.107586828921551	0.397515931776019	0.492650609232029	0.817843828039872	1.35757839588369	2.24828411670826	2.42830955658528	2.5971267825866	3.00077140552894	3.26462371615484	4.00634657357731	5.58492379581519	7.04222	4.57977709821526	2016	7.04222	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	12	2.678164227	28.15940032	DZA	Algeria	2	PER_100_POP	10MBPS	Per 100 population	10 mbps and over															0.00049588084554296	0.0013068046573632	1.91294	0.638247561834302	2016	1.91294	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	12	2.678164227	28.15940032	DZA	Algeria	3	PER_100_POP	2MT10MBPS	Per 100 population	between 2 mbps and 10 mbps															1.35752139919943	1.87779707878216	2.40922	1.88151282599386	2016	2.40922	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	12	2.678164227	28.15940032	DZA	Algeria	4	PER_100_POP	256KT2MBPS	Per 100 population	between 256 kbps and 2 mbps															2.43927544595654	2.64285368335813	2.72002	2.60071637643822	2016	2.72002	Ministère de la Poste, des Télécommunications, des Technologies et du Numérique	
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	PER_100_POP	ANYS	Per 100 population	any speed																						
2018.Q2.G.01	IT_NET_BBP	Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)	16	-170.7187269	-14.30587306	ASM	American Samoa	2	PER_100_POP	10MBPS	Per 100 population	10 mbps and over																						
