"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1995","Value_2000","Value_2005","Value_2010","Value_2012","Value_2014","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"4","Afghanistan","AFG","66.02688198","33.83160199","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","0","0","0","757","811","943","953","953",2017.0,"953","[2016]: Country data // [1995,2000,2005]: Data nature not available // [2010,2012,2014,2017]: Estimated data","[2010,2012,2014,2016-2017]: FAO-WIEWS // [1995,2000,2005]: NA","[2017]: Estimate based on 2016 report. // [2010,2012,2014]: Estimate based on the acquisition date of each conserved accession as reported in 2016."
"8","Albania","ALB","20.06660928","41.13897007","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","0","716","2624","3198","3532","3833","4345","4345",2017.0,"4345","[2014,2016-2017]: Country data // [1995]: Data nature not available // [2000,2005,2010,2012]: Estimated data","[2000,2005,2010,2012,2014,2016-2017]: FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de) // [1995]: NA","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"10","Antarctica","ATA","21.47585697","-80.40897662","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"12","Algeria","DZA","2.678164227","28.15940032","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"16","American Samoa","ASM","-170.7187269","-14.30587306","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"20","Andorra","AND","1.576257417","42.54548611","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"24","Angola","AGO","17.57817062","-12.33724746","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"28","Antigua and Barbuda","ATG","-61.7999755","17.07761471","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"31","Azerbaijan","AZE","50.01064725","40.39229544","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","6075","6649","9133","11392","11827","11839","12712","12712",2017.0,"12712","[2014,2016-2017]: Country data // [1995,2000,2005,2010,2012]: Estimated data","FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"32","Argentina","ARG","-65.14563274","-35.19446255","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
