"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_1995","Value_2000","Value_2005","Value_2010","Value_2012","Value_2014","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source","Footnotes"
"36","Australia","AUS","134.3499412","-25.57717202","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","147499","170542","202067","211278","215768","217995","221780","222797",2017.0,"222797","[2016-2017]: Country data // [1995,2000,2005,2010,2012,2014]: Estimated data","FAO-WIEWS","Estimate based on the acquisition date of each conserved accession as reported in 2016."
"40","Austria","AUT","14.14172472","47.58704857","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","5874","7116","9982","11557","11669","11722","11964","11964",2017.0,"11964","[2014,2016-2017]: Country data // [1995,2000,2005,2010,2012]: Estimated data","FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"44","Bahamas","BHS","-78.05111663","24.69546597","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","14863","17958","20566","23307","26502","30486","31718","31461",2017.0,"31461","[2014,2016-2017]: Country data // [1995,2000,2005,2010,2012]: Estimated data","FAO-WIEWS","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"51","Armenia","ARM","44.93839317","40.29499741","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2158","2546","4688","6544","6702","6711","6789","6918",2017.0,"6918","[2014,2016-2017]: Country data // [1995,2000,2005,2010,2012]: Estimated data","FAO-WIEWS","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"52","Barbados","BRB","-59.5346489","13.13648273","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"56","Belgium","BEL","4.660976456","50.64104975","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","8554","8964","9237","9304","9304","9304","9304","9304",2017.0,"9304","Estimated data","FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)","[2014]: Estimate based on 2012 report. // [2016-2017]: Estimate based on 2013 report. // [1995,2000,2005,2010,2012]: Estimate based on the acquisition date of each conserved accession as reported in 2013."
"60","Bermuda","BMU","-64.78155012","32.27881922","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","0","29","433","777","798","977","1162","1162",2017.0,"1162","[2016-2017]: Country data // [1995]: Data nature not available // [2000,2005,2010,2012,2014]: Estimated data","[2000,2005,2010,2012,2014,2016-2017]: FAO-WIEWS // [1995]: NA","Estimate based on the acquisition date of each conserved accession as reported in 2016."
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","10666","10917","11280","11418","11505","11506","11506","11506",2017.0,"11506","[2014,2016-2017]: Country data // [1995,2000,2005,2010,2012]: Estimated data","FAO-WIEWS","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","62","62","64","211","434","434","434","479",2017.0,"479","[2012]: Country data // [1995,2000,2005,2010,2014,2016-2017]: Estimated data","FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)","[2014,2016-2017]: Estimate based on 2012 report. // [1995,2000,2005,2010]: Estimate based on the acquisition date of each conserved accession as reported in 2012."
"72","Botswana","BWA","23.81380223","-22.18810073","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","2420","2423","2652","2925","2992","2992","2992","2992",2017.0,"2992","[2017]: Country data // [1995,2000,2005,2010,2012,2014,2016]: Estimated data","FAO-WIEWS","Estimate based on the acquisition date of each conserved accession as reported in 2017."
"74","Bouvet Island","BVT","3.410732868","-54.43295905","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","52626","53672","54671","55770","55846","55905","56277","56288",2017.0,"56288","[2014,2016-2017]: Country data // [1995,2000,2005,2010,2012]: Estimated data","FAO-WIEWS","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"84","Belize","BLZ","-88.70199554","17.19965901","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"100","Bulgaria","BGR","25.23763153","42.75731323","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","62131","62131","62131","65875","65878","66126","67012","67510",2017.0,"67510","[2014,2016-2017]: Country data // [1995,2000,2005,2010,2012]: Estimated data","FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de)","Estimate based on the acquisition date of each conserved accession as reported in 2014."
"104","Myanmar","MMR","96.51752295","21.19332882","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","3214","7187","8746","10718","11393","11774","11902","12050",2017.0,"12050","[2017]: Country data // [1995,2000,2005,2010,2012,2014,2016]: Estimated data","FAO-WIEWS","Estimate based on the acquisition date of each conserved accession as reported in 2017."
"108","Burundi","BDI","29.89080992","-3.366387428","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"112","Belarus","BLR","28.04940161","53.54193075","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","0","0","0","14","203","203","203","203",2017.0,"203","[2012]: Country data // [1995,2000,2005]: Data nature not available // [2010,2014,2016-2017]: Estimated data","[2010,2012,2014,2016-2017]: FAO-WIEWS and EURISCO (http://eurisco.ipk-gatersleben.de) // [1995,2000,2005]: NA","[2014,2016-2017]: Estimate based on 2012 report. // [2010]: Estimate based on the acquisition date of each conserved accession as reported in 2012."
"116","Cambodia","KHM","104.922836","12.71163737","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"120","Cameroon","CMR","12.7419827","5.692387031","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","","","","","","","","","","","","",""
"124","Canada","CAN","-101.6575058","57.72360191","2","End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.5","By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed","2.5.1","Number of plant and animal genetic resources for food and agriculture secured in either medium or long-term conservation facilities","1","ER_GRF_PLNTSTOR","Plant breeds for which sufficient genetic resources are stored (number)","2019.Q1.G.01","NUMBER","Number","G","Global","102075","106510","108299","109244","110363","110363","110363","110363",2017.0,"110363","[2014,2016]: Country data // [1995,2000,2005,2010,2012,2017]: Estimated data","FAO-WIEWS","[2017]: Estimate based on 2016 report. // [1995,2000,2005,2010,2012]: Estimate based on the acquisition date of each conserved accession as reported in 2014."
