"GeoArea_Code","GeoArea_Desc","ISO3CD","X","Y","GoalCode","GoalDesc","TargetCode","TargetDesc","IndicatorCode","IndicatorDesc","IndicatorTier","SeriesCode","SeriesDesc","SeriesRelease","Units_Code","Units_Desc","ReportingType_Code","ReportingType_Desc","Value_2007","Value_2012","Value_2013","Value_2015","Value_2016","Value_2017","Latest_Year","Latest_Value","Nature_Desc","Source"
"36","Australia","AUS","134.3499412","-25.57717202","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"40","Austria","AUT","14.14172472","47.58704857","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","1034.00000","","",2015.0,"1034.00000","Country data","Environment Live"
"44","Bahamas","BHS","-78.05111663","24.69546597","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"48","Bahrain","BHR","50.5490754","26.04407747","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"50","Bangladesh","BGD","89.17660788","22.86961622","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"51","Armenia","ARM","44.93839317","40.29499741","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"52","Barbados","BRB","-59.5346489","13.13648273","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"56","Belgium","BEL","4.660976456","50.64104975","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"60","Bermuda","BMU","-64.78155012","32.27881922","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"64","Bhutan","BTN","90.45098484","27.39598568","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"68","Bolivia (Plurinational State of)","BOL","-64.66224284","-16.71273412","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"70","Bosnia and Herzegovina","BIH","17.78584332","44.16845548","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"72","Botswana","BWA","23.81380223","-22.18810073","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","2.69000","",2016.0,"2.69000","Country data","Environment Live"
"74","Bouvet Island","BVT","3.410732868","-54.43295905","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"76","Brazil","BRA","-53.08432878","-10.77668561","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"84","Belize","BLZ","-88.70199554","17.19965901","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"86","British Indian Ocean Territory","IOT","72.38715553","-7.299281071","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"90","Solomon Islands","SLB","160.1584117","-9.622391719","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"92","British Virgin Islands","VGB","-64.63294223","18.42256578","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"96","Brunei Darussalam","BRN","114.6288563","4.49736984","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"100","Bulgaria","BGR","25.23763153","42.75731323","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"104","Myanmar","MMR","96.51752295","21.19332882","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"108","Burundi","BDI","29.89080992","-3.366387428","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"112","Belarus","BLR","28.04940161","53.54193075","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"116","Cambodia","KHM","104.922836","12.71163737","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"120","Cameroon","CMR","12.7419827","5.692387031","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"124","Canada","CAN","-101.6575058","57.72360191","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"132","Cabo Verde","CPV","-23.63544151","15.07791834","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"136","Cayman Islands","CYM","-81.16740559","19.32266656","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"140","Central African Republic","CAF","20.93559492","7.003720791","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"144","Sri Lanka","LKA","80.70489654","7.614693343","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"148","Chad","TCD","18.66618401","15.36279341","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"152","Chile","CHL","-71.23029019","-35.2652885","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"156","China","CHN","104.1403375","32.30955217","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"162","Christmas Island","CXR","105.6426067","-10.4882473","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"166","Cocos (Keeling) Islands","CCK","96.82633757","-12.18600682","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"170","Colombia","COL","-73.07446751","3.888209046","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"174","Comoros","COM","43.34234565","-11.66121732","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"175","Mayotte","MYT","45.14015057","-12.82217691","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"178","Congo","COG","15.22052612","-0.840544119","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"180","Democratic Republic of the Congo","COD","23.65496507","-2.877154732","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"184","Cook Islands","COK","-159.7711391","-21.22696458","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"188","Costa Rica","CRI","-84.19712782","9.970998683","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"191","Croatia","HRV","17.95874553","45.45172212","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"192","Cuba","CUB","-79.54460144","22.10030366","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"196","Cyprus","CYP","33.22285964","35.05659437","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"203","Czechia","CZE","15.33151382","49.73913871","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"204","Benin","BEN","2.339933594","9.65401646","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"208","Denmark","DNK","9.326571283","56.03829721","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"212","Dominica","DMA","-61.3493756","15.43391378","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"214","Dominican Republic","DOM","-70.49847576","18.89832088","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"218","Ecuador","ECU","-78.37005241","-1.447785891","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"222","El Salvador","SLV","-88.86862995","13.73603564","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"226","Equatorial Guinea","GNQ","10.46535826","1.565792376","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"231","Ethiopia","ETH","39.63505296","8.631223181","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"232","Eritrea","ERI","38.11074289","16.12894644","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","","","","","","","",""
"233","Estonia","EST","25.84093481","58.68487172","6","Ensure availability and sustainable management of water and sanitation for all","6.6","By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes","6.6.1","Change in the extent of water-related ecosystems over time","2","EN_WBE_NDOPW","Nationally derived extent of open water bodies (square kilometres)","2019.Q1.G.01","KMSQ","Square kilometers","G","Global","","","1958.37680","","","",2013.0,"1958.37680","Country data","Environment Live"
