series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Units	Units description	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	4	66.02688198	33.83160199	AFG	Afghanistan	1	INDEX	Index			0.13	0.44	0.14	0.08	0.1	0.14	0.17	0.13	0.16	0.17	0.2				0.185	2013	0.2	IMF data. UNSD national account estimates	C
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	8	20.06660928	41.13897007	ALB	Albania	1	INDEX	Index		0.2	0.14	0.13						0.09	0.08	0.09	0.09	0.09	0.1	0.13	0.1	2016	0.13	Combined IMF and FAO Questionaire. UNSD national account estimates.	C
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	10	21.47585697	-80.40897662	ATA	Antarctica	1	INDEX	Index																					
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	12	2.678164227	28.15940032	DZA	Algeria	1	INDEX	Index						0.56	0.29	0.79	0.39									2009	0.39	IMF data. UNSD national account estimates	C
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	16	-170.7187269	-14.30587306	ASM	American Samoa	1	INDEX	Index																					
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	20	1.576257417	42.54548611	AND	Andorra	1	INDEX	Index																					
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	24	17.57817062	-12.33724746	AGO	Angola	1	INDEX	Index	0.15	0.09	0.1	0.21	0.34	0.32	0.54	0.44	0.13	0.18	0.21	0.16	0.19	0.1	0.11	0.15	0.142	2016	0.15	FAO Questionnaire. UNSD national account estimates.	C
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	INDEX	Index																					
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	31	50.01064725	40.39229544	AZE	Azerbaijan	1	INDEX	Index								0.45	0.58	0.54	0.54	0.46	0.43	0.44	0.43		0.44	2015	0.43	IMF data. UNSD national account estimates	C
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	32	-65.14563274	-35.19446255	ARG	Argentina	1	INDEX	Index	0.17	0.06	0.05	0.06	0.06	0.07	0.19	0.37	0.34	0.25	0.12	0.12	0.12	0.07	0.09	0.07	0.094	2016	0.07	FAO Questionnaire. UNSD national account estimates.	C
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	36	134.3499412	-25.57717202	AUS	Australia	1	INDEX	Index	0.24	0.3	0.31	0.31	0.28	0.5	0.45	0.58	0.37	0.36	0.3	0.33	0.25	0.24	0.24	0.2	0.252	2016	0.2	FAO Questionnaire. UNSD national account estimates.	C
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	40	14.14172472	47.58704857	AUT	Austria	1	INDEX	Index																					
2018.Q2.G.01	AG_PRD_ORTIND	Agriculture orientation index for government expenditures	44	-78.05111663	24.69546597	BHS	Bahamas	1	INDEX	Index	0.51	0.41	0.47	0.56	0.61	0.47	0.47	0.46	0.54	0.43	0.38	0.36	0.48	0.41	0.55	0.78	0.516	2016	0.78	FAO Questionnaire. UNSD national account estimates.	C
